miRNA,46-UMIs,31-UMIs,56-UMIs,1A-UMIs,24-UMIs,57-UMIs,58-UMIs,54-UMIs
hsa-let-7a-2-3p,26,27,45,24,14,49,22,16
hsa-let-7a-3p,17,23,22,31,23,29,14,56
hsa-let-7a-5p,22291,27150,32158,25722,29502,48901,34253,75934
hsa-let-7b-3p,236,115,108,84,120,242,148,233
hsa-let-7b-5p,33758,30466,30641,26053,32728,70290,54542,72038
hsa-let-7c-3p,9,23,25,24,20,30,21,27
hsa-let-7c-5p,4001,4899,6354,6235,4067,10545,6250,12718
hsa-let-7d-3p,71,107,150,107,101,154,206,229
hsa-let-7d-5p,943,803,810,591,804,1436,1280,1647
hsa-let-7e-3p,11,26,17,10,14,15,22,10
hsa-let-7e-5p,2757,3394,3213,2784,2724,5322,2859,6644
hsa-let-7f-1-3p,17,43,28,29,43,41,44,35
hsa-let-7f-2-3p,0,0,0,0,0,37,7,0
hsa-let-7f-5p,28801,47519,54949,51491,38002,55857,38124,113601
hsa-let-7g-3p,4,11,7,13,14,58,16,4
hsa-let-7g-5p,833,935,1152,842,923,1477,1513,2252
hsa-let-7i-3p,0,0,12,0,6,7,24,0
hsa-let-7i-5p,6042,7248,8114,7971,6731,10214,12321,17267
hsa-miR-1-3p,22,28,66,34,45,21,123,37
hsa-miR-1-5p,10,17,11,22,14,13,59,14
hsa-miR-100-5p,153,125,208,114,204,417,249,270
hsa-miR-101-3p,597,589,859,468,591,1321,2055,1396
hsa-miR-101-5p,20,15,20,14,8,13,37,16
hsa-miR-103a-2-5p,55,76,75,67,40,57,105,74
hsa-miR-103a-3p,531,1091,1683,1136,1058,1064,1982,2474
hsa-miR-103b,84,99,121,73,59,93,182,195
hsa-miR-105-3p,17,8,13,19,16,22,23,11
hsa-miR-105-5p,23,47,39,35,64,38,47,33
hsa-miR-106a-3p,2,12,13,0,9,29,9,0
hsa-miR-106b-3p,87,219,297,170,167,353,407,393
hsa-miR-106b-5p,22,21,46,13,20,190,56,20
hsa-miR-107,204,237,307,181,210,310,515,470
hsa-miR-10a-3p,6,21,23,13,16,33,57,23
hsa-miR-10a-5p,108,235,235,164,268,306,743,406
hsa-miR-10b-3p,59,47,42,14,26,129,76,44
hsa-miR-10b-5p,1035,328,578,195,604,2637,736,1033
hsa-miR-1178-3p,25,106,113,122,66,88,104,72
hsa-miR-1178-5p,16,14,17,7,4,11,29,12
hsa-miR-1179,28,11,19,9,10,14,14,33
hsa-miR-1180-3p,128,276,276,207,213,277,518,226
hsa-miR-1180-5p,25,67,63,46,84,64,87,60
hsa-miR-1181,56,109,171,96,72,82,215,113
hsa-miR-1182,93,67,54,12,55,70,57,55
hsa-miR-1183,18,26,18,16,14,15,27,13
hsa-miR-1184,16,14,8,14,22,18,37,21
hsa-miR-1185-1-3p,6,16,21,18,5,10,43,38
hsa-miR-1185-2-3p,0,0,19,6,11,9,23,26
hsa-miR-1185-5p,0,0,10,0,1,15,10,0
hsa-miR-1193,38,77,66,40,45,65,77,58
hsa-miR-1197,9,36,61,40,50,51,35,24
hsa-miR-1199-3p,20,73,37,34,24,37,65,31
hsa-miR-1199-5p,46,87,65,45,39,67,98,73
hsa-miR-1200,124,110,190,80,112,103,273,207
hsa-miR-1202,14,40,58,28,55,44,56,29
hsa-miR-1203,248,350,347,395,180,231,1070,322
hsa-miR-1204,21,138,186,140,62,114,105,116
hsa-miR-1205,17,20,23,11,5,11,33,12
hsa-miR-1206,0,0,0,0,0,5,10,0
hsa-miR-1207-3p,0,0,0,10,0,0,0,5
hsa-miR-1207-5p,24,108,105,92,63,96,77,49
hsa-miR-1208,150,356,419,249,174,195,675,457
hsa-miR-122-3p,17,15,26,16,9,9,37,21
hsa-miR-122-5p,3237,9720,2914,3164,1314,677,10223,4453
hsa-miR-1224-3p,27,60,54,46,129,94,52,30
hsa-miR-1224-5p,93,121,92,61,85,61,172,45
hsa-miR-1225-3p,18,40,35,25,49,76,65,26
hsa-miR-1225-5p,16,60,72,39,146,81,52,42
hsa-miR-1226-3p,93,206,237,216,202,151,695,182
hsa-miR-1226-5p,19,22,51,24,24,48,38,25
hsa-miR-1227-3p,25,42,31,21,26,42,44,28
hsa-miR-1227-5p,22,43,42,48,22,54,68,29
hsa-miR-1228-3p,10,20,15,26,30,28,34,11
hsa-miR-1228-5p,32,111,89,75,52,69,113,47
hsa-miR-1229-3p,28,50,37,28,168,70,46,36
hsa-miR-1229-5p,121,214,176,233,111,165,597,176
hsa-miR-1231,13,43,48,28,26,56,51,27
hsa-miR-1233-3p,13,24,34,22,24,30,34,25
hsa-miR-1233-5p,38,82,108,92,108,88,151,76
hsa-miR-1234-3p,67,380,444,384,210,296,278,299
hsa-miR-1236-3p,19,53,31,22,37,48,47,28
hsa-miR-1236-5p,77,103,145,111,161,131,179,99
hsa-miR-1237-3p,234,175,195,147,74,454,295,239
hsa-miR-1237-5p,72,165,125,140,215,364,140,109
hsa-miR-1238-3p,145,41,116,45,24,31,207,269
hsa-miR-1238-5p,91,74,80,72,47,78,140,88
hsa-miR-124-3p,25,42,29,41,28,28,41,23
hsa-miR-124-5p,50,51,55,36,41,40,299,71
hsa-miR-1243,8,14,12,14,14,12,17,14
hsa-miR-1244,15,34,13,13,26,48,30,9
hsa-miR-1245a,13,12,14,0,8,8,12,0
hsa-miR-1245b-3p,13,15,20,6,26,14,32,20
hsa-miR-1246,150,147,95,54,61,60,259,42
hsa-miR-1247-3p,14,75,55,58,116,48,100,55
hsa-miR-1247-5p,41,102,177,102,176,145,145,116
hsa-miR-1248,14,15,18,2,4,13,14,14
hsa-miR-1249-3p,75,148,157,128,639,294,189,92
hsa-miR-1249-5p,60,84,80,120,66,95,175,68
hsa-miR-1250-3p,50,39,30,32,34,39,53,21
hsa-miR-1250-5p,23,31,36,31,38,35,55,26
hsa-miR-1251-3p,20,22,19,19,18,38,27,21
hsa-miR-1251-5p,12,40,15,16,13,11,24,10
hsa-miR-1252-3p,16,40,54,19,23,17,45,21
hsa-miR-1252-5p,30,31,19,19,20,15,38,36
hsa-miR-1253,15,47,32,19,18,14,57,26
hsa-miR-1254,6,28,16,21,9,15,11,13
hsa-miR-1255a,0,0,9,5,11,0,0,11
hsa-miR-1255b-5p,0,0,12,2,9,11,13,11
hsa-miR-1256,80,197,257,206,188,213,310,158
hsa-miR-1257,28,52,41,39,18,50,85,61
hsa-miR-1258,26,24,21,7,20,21,23,14
hsa-miR-125a-3p,44,64,45,43,35,120,97,75
hsa-miR-125a-5p,581,1925,4595,2685,2201,3665,1792,6232
hsa-miR-125b-1-3p,36,84,128,73,73,94,117,102
hsa-miR-125b-2-3p,87,125,210,77,88,284,187,182
hsa-miR-125b-5p,1722,2392,6477,3663,3058,7854,4606,9463
hsa-miR-126-3p,511,845,3169,650,1564,1342,3932,2064
hsa-miR-126-5p,463,567,1732,457,490,613,2694,899
hsa-miR-1260a,17,33,48,21,30,17,23,33
hsa-miR-1260b,7,31,34,27,29,33,22,62
hsa-miR-1261,11,18,19,7,9,104,22,18
hsa-miR-1262,14,43,37,17,26,36,55,25
hsa-miR-1263,26,40,72,38,22,26,60,53
hsa-miR-1264,15,15,35,19,12,13,26,20
hsa-miR-1265,10,29,36,33,19,34,37,21
hsa-miR-1266-3p,11,24,20,11,19,22,38,16
hsa-miR-1266-5p,1843,2164,2621,2227,1481,1595,4060,2473
hsa-miR-1267,13,23,14,11,4,14,23,19
hsa-miR-1268a,42,70,79,67,84,57,84,66
hsa-miR-1268b,85,174,110,79,143,88,116,91
hsa-miR-1269a,23,24,35,34,18,30,37,29
hsa-miR-1269b,7,26,16,11,20,13,39,18
hsa-miR-127-3p,351,500,543,242,294,1381,1203,2101
hsa-miR-127-5p,17,47,35,36,24,52,35,64
hsa-miR-1270,68,104,141,160,79,127,212,114
hsa-miR-1271-3p,16,66,57,67,95,58,67,31
hsa-miR-1271-5p,0,0,35,14,7,50,22,36
hsa-miR-1272,9,21,17,24,13,19,49,19
hsa-miR-1273a,0,0,20,0,2,7,42,0
hsa-miR-1273c,6,22,31,23,30,16,28,13
hsa-miR-1273d,8,11,16,10,13,7,35,24
hsa-miR-1273e,15,16,41,22,38,43,41,40
hsa-miR-1273f,0,0,11,14,16,13,10,16
hsa-miR-1273g-3p,33,33,29,25,27,35,50,17
hsa-miR-1273g-5p,5,15,8,13,25,12,15,6
hsa-miR-1273h-3p,30,84,77,43,47,66,66,65
hsa-miR-1273h-5p,7,40,18,17,7,16,11,13
hsa-miR-1275,3,26,18,19,13,23,22,28
hsa-miR-1276,45,295,300,401,444,482,260,224
hsa-miR-1277-3p,5,11,0,0,0,0,0,0
hsa-miR-1277-5p,0,0,27,6,6,22,21,18
hsa-miR-1278,2,19,0,0,0,0,0,0
hsa-miR-1279,0,0,13,0,2,0,0,0
hsa-miR-128-1-5p,101,104,103,54,103,68,133,113
hsa-miR-128-2-5p,24,47,29,37,31,42,59,23
hsa-miR-128-3p,384,682,799,787,420,1065,933,1171
hsa-miR-1281,51,161,185,162,169,180,106,152
hsa-miR-1282,0,0,14,11,14,12,12,11
hsa-miR-1284,19,47,50,35,29,35,74,23
hsa-miR-1285-3p,240,334,347,293,120,128,1279,282
hsa-miR-1286,9,34,44,25,13,28,39,18
hsa-miR-1287-3p,199,491,533,448,346,443,978,361
hsa-miR-1287-5p,100,88,77,49,43,95,191,58
hsa-miR-1288-3p,16,26,24,41,12,13,40,15
hsa-miR-1288-5p,49,47,65,40,26,28,76,47
hsa-miR-1289,0,0,13,13,6,7,16,16
hsa-miR-129-1-3p,0,0,15,0,7,1,13,0
hsa-miR-129-2-3p,7,12,21,0,17,10,11,0
hsa-miR-129-5p,99,122,74,50,28,266,137,81
hsa-miR-1290,23,25,33,27,20,17,31,20
hsa-miR-1291,23,29,42,29,9,74,46,30
hsa-miR-1292-3p,34,54,64,43,49,72,60,47
hsa-miR-1292-5p,78,175,196,142,184,203,334,211
hsa-miR-1293,26,41,40,31,36,41,67,36
hsa-miR-1294,47,27,28,24,7,22,61,60
hsa-miR-1295a,8,42,16,18,8,22,29,9
hsa-miR-1295b-3p,20,20,19,22,23,9,42,17
hsa-miR-1296-3p,32,45,30,33,11,22,77,27
hsa-miR-1296-5p,14,27,34,19,31,47,33,21
hsa-miR-1297,5,11,14,0,7,6,14,0
hsa-miR-1298-3p,11,21,17,10,2,6,33,2
hsa-miR-1298-5p,17,20,28,17,19,20,37,16
hsa-miR-1299,96,155,211,260,168,218,524,112
hsa-miR-1301-3p,20,40,32,49,23,39,71,40
hsa-miR-1301-5p,16,24,32,20,8,22,52,21
hsa-miR-1303,21,68,61,33,32,60,77,48
hsa-miR-1304-3p,20,32,40,38,34,30,61,21
hsa-miR-1304-5p,0,0,28,12,34,24,40,18
hsa-miR-1305,45,27,45,33,19,23,122,58
hsa-miR-1306-3p,65,122,130,120,68,92,133,130
hsa-miR-1306-5p,35,50,57,37,63,69,71,94
hsa-miR-1307-3p,1306,4050,4228,3438,3421,4285,6169,3051
hsa-miR-1307-5p,26,75,98,42,64,52,85,44
hsa-miR-130a-3p,213,214,261,179,142,360,419,286
hsa-miR-130a-5p,4,12,19,6,12,44,15,16
hsa-miR-130b-3p,60,109,65,70,53,72,153,100
hsa-miR-130b-5p,34,34,34,17,20,142,46,29
hsa-miR-132-3p,271,486,418,226,714,1128,642,1094
hsa-miR-132-5p,51,84,109,62,128,213,115,275
hsa-miR-1321,6,13,24,14,3,20,14,6
hsa-miR-1322,6,12,15,18,6,6,23,6
hsa-miR-1323,5,19,12,15,11,12,39,18
hsa-miR-1324,16,79,131,160,141,94,105,72
hsa-miR-133a-3p,42,24,39,31,47,32,56,34
hsa-miR-133a-5p,28,68,74,82,117,69,84,67
hsa-miR-133b,53,43,55,46,46,56,59,41
hsa-miR-134-3p,15,34,26,27,18,24,32,18
hsa-miR-134-5p,256,392,289,169,282,1596,1004,1287
hsa-miR-1343-3p,19,69,96,83,57,92,88,60
hsa-miR-1343-5p,32,52,45,36,37,89,84,45
hsa-miR-135a-3p,23,45,33,20,15,27,50,32
hsa-miR-135a-5p,0,0,8,0,15,17,12,0
hsa-miR-135b-3p,45,130,102,151,135,80,198,117
hsa-miR-135b-5p,53,49,37,26,27,110,39,21
hsa-miR-136-3p,27,43,42,37,20,88,68,111
hsa-miR-136-5p,14,9,23,9,13,35,34,23
hsa-miR-137,131,187,204,177,68,138,411,207
hsa-miR-138-1-3p,120,490,461,609,463,878,423,302
hsa-miR-138-2-3p,142,232,342,234,119,168,347,233
hsa-miR-138-5p,171,131,204,156,86,120,409,205
hsa-miR-139-3p,30,28,37,33,35,32,74,22
hsa-miR-139-5p,3,15,22,11,12,9,28,14
hsa-miR-140-3p,171,499,660,443,468,632,667,627
hsa-miR-140-5p,93,176,265,190,92,132,416,224
hsa-miR-141-3p,30,84,256,71,112,131,1941,339
hsa-miR-141-5p,49,88,95,81,70,72,167,81
hsa-miR-142-3p,32,46,146,35,263,76,352,491
hsa-miR-142-5p,130,179,114,60,187,58,790,460
hsa-miR-143-3p,3139,4808,8240,3360,5146,7563,14470,10766
hsa-miR-143-5p,36,85,102,70,77,92,260,91
hsa-miR-144-3p,6,13,15,4,39,5,173,73
hsa-miR-144-5p,0,0,4,3,36,5,57,47
hsa-miR-145-3p,22,33,43,5,17,29,51,23
hsa-miR-145-5p,61,91,111,59,57,93,182,183
hsa-miR-1468-3p,0,0,0,2,0,0,0,10
hsa-miR-1468-5p,26,52,57,37,36,78,83,71
hsa-miR-1469,26,84,63,69,66,99,96,49
hsa-miR-146a-3p,0,0,19,18,9,3,22,17
hsa-miR-146a-5p,608,794,698,602,808,973,1910,1095
hsa-miR-146b-3p,15,44,34,21,24,53,32,24
hsa-miR-146b-5p,135,162,250,105,196,620,312,586
hsa-miR-1470,15,139,161,114,245,235,111,89
hsa-miR-1471,442,468,530,1193,303,882,3527,365
hsa-miR-147a,0,0,13,4,6,0,0,10
hsa-miR-147b,11,10,13,0,2,11,7,0
hsa-miR-148a-3p,1482,2461,2735,2115,1755,4879,6407,3685
hsa-miR-148a-5p,11,36,39,28,17,16,34,34
hsa-miR-148b-3p,227,402,378,301,203,544,632,525
hsa-miR-148b-5p,2,11,10,6,4,0,0,16
hsa-miR-149-3p,39,95,83,55,101,112,78,62
hsa-miR-149-5p,28,49,58,46,31,77,89,55
hsa-miR-150-3p,29,34,34,34,26,69,44,26
hsa-miR-150-5p,60,71,89,55,81,56,123,114
hsa-miR-151a-3p,713,990,1470,1365,753,2587,2371,2540
hsa-miR-151b/151a-5p,74,44,97,70,64,112,80,147
hsa-miR-152-3p,209,465,359,307,223,580,689,521
hsa-miR-152-5p,3105,4418,6553,5620,4499,3872,7095,5156
hsa-miR-1538,36,53,36,47,43,50,62,27
hsa-miR-1539,15,62,41,43,28,39,137,30
hsa-miR-154-3p,11,19,15,14,5,13,33,17
hsa-miR-154-5p,16,36,23,8,10,50,40,42
hsa-miR-155-3p,11,5,0,0,0,1,11,0
hsa-miR-155-5p,28,78,85,39,78,82,106,108
hsa-miR-1587,27,60,43,37,31,33,69,43
hsa-miR-15a-5p,207,131,213,80,135,164,757,345
hsa-miR-15b-3p,24,55,47,33,24,47,75,44
hsa-miR-15b-5p,124,145,227,148,198,244,536,286
hsa-miR-16-1-3p,0,0,0,0,0,2,11,0
hsa-miR-16-2-3p,143,87,108,55,85,277,197,296
hsa-miR-16-5p,18682,23191,21373,13266,20243,24868,74293,48697
hsa-miR-17-3p,5,15,16,15,9,13,20,11
hsa-miR-17-5p,23,32,60,58,43,65,49,71
hsa-miR-181a-2-3p,17,19,19,20,25,48,40,23
hsa-miR-181a-3p,28,91,37,53,25,138,144,26
hsa-miR-181a-5p,148,139,111,74,138,157,203,120
hsa-miR-181b-2-3p,15,9,25,0,13,12,27,0
hsa-miR-181b-3p,0,0,0,8,0,0,0,12
hsa-miR-181b-5p,98,64,50,45,51,89,126,57
hsa-miR-181c-3p,43,42,60,48,46,80,70,58
hsa-miR-181c-5p,32,20,31,24,33,22,31,23
hsa-miR-181d-3p,10,21,20,26,13,25,30,12
hsa-miR-181d-5p,18,30,23,17,11,27,31,17
hsa-miR-182-3p,20,10,20,14,4,11,39,43
hsa-miR-182-5p,44,68,76,27,94,50,381,228
hsa-miR-1825,22,20,19,13,9,8,12,13
hsa-miR-1827,24,32,39,19,36,26,30,27
hsa-miR-183-3p,21,29,18,23,12,38,102,25
hsa-miR-183-5p,16,39,60,37,49,36,254,114
hsa-miR-184,28,56,27,47,35,113,71,34
hsa-miR-185-3p,45,47,36,27,29,32,53,41
hsa-miR-185-5p,201,335,398,310,288,282,1219,834
hsa-miR-186-3p,9,25,11,0,11,22,13,0
hsa-miR-186-5p,33,76,146,105,63,99,198,206
hsa-miR-187-3p,66,82,65,77,51,76,197,74
hsa-miR-187-5p,48,35,63,29,42,60,80,38
hsa-miR-188-3p,77,167,192,92,165,170,278,106
hsa-miR-188-5p,7,19,17,24,10,11,19,14
hsa-miR-18a-3p,0,0,16,10,6,5,11,9
hsa-miR-18a-5p,6,18,27,20,25,159,21,20
hsa-miR-18b-3p,8,17,16,0,10,17,17,0
hsa-miR-1908-3p,53,110,124,81,118,129,177,95
hsa-miR-1908-5p,31,90,82,52,47,79,82,57
hsa-miR-1909-3p,27,50,50,38,44,51,49,30
hsa-miR-1909-5p,39,134,149,85,76,141,947,127
hsa-miR-190a-3p,0,0,0,4,0,18,17,13
hsa-miR-190a-5p,37,92,118,121,59,91,119,141
hsa-miR-190b,15,44,29,35,30,48,49,36
hsa-miR-191-3p,20,95,49,49,28,32,44,66
hsa-miR-191-5p,689,1521,2300,2105,1223,1816,2185,3465
hsa-miR-1910-3p,40,36,39,18,23,25,33,64
hsa-miR-1910-5p,11,30,58,37,28,22,65,33
hsa-miR-1911-3p,4,15,16,11,4,69,16,11
hsa-miR-1911-5p,0,0,12,10,5,24,25,9
hsa-miR-1912,12,8,0,0,0,15,21,0
hsa-miR-1913,27,42,43,38,90,73,58,32
hsa-miR-1914-3p,18,23,26,32,20,38,30,32
hsa-miR-1914-5p,25,71,45,35,31,73,61,35
hsa-miR-1915-3p,34,125,93,72,170,147,154,74
hsa-miR-1915-5p,52,101,138,105,53,101,129,95
hsa-miR-192-3p,22,95,81,77,91,110,52,56
hsa-miR-192-5p,104,426,139,159,105,167,437,273
hsa-miR-193a-3p,19,23,18,23,9,14,24,13
hsa-miR-193a-5p,124,289,329,234,217,334,596,229
hsa-miR-193b-3p,9,26,26,11,14,31,38,21
hsa-miR-193b-5p,148,257,125,83,164,761,404,199
hsa-miR-194-3p,7,19,22,16,24,17,26,17
hsa-miR-194-5p,121,204,119,116,62,73,416,146
hsa-miR-195-3p,3,35,33,37,12,57,32,31
hsa-miR-195-5p,282,355,731,274,535,2223,738,1192
hsa-miR-196a-3p,6,17,14,4,5,14,30,16
hsa-miR-196a-5p,33,12,19,24,18,53,80,259
hsa-miR-196b-3p,29,28,17,11,22,90,31,31
hsa-miR-196b-5p,25,41,85,25,49,65,208,114
hsa-miR-197-3p,2396,2912,3685,2648,3278,2399,3499,3797
hsa-miR-197-5p,31,74,42,39,67,61,113,25
hsa-miR-1972,7,27,25,26,12,52,15,17
hsa-miR-1973,3,10,0,0,0,0,0,0
hsa-miR-1976,20,37,33,23,45,47,39,28
hsa-miR-198,8,30,33,17,11,29,26,17
hsa-miR-199a-3p,8913,4870,7475,3637,5618,14994,10888,12146
hsa-miR-199a-5p,106,45,86,47,51,121,180,155
hsa-miR-199b-3p,2032,828,1006,637,877,2496,1660,1986
hsa-miR-199b-5p,19,58,80,60,39,56,104,73
hsa-miR-19a-3p,11,9,44,24,19,40,66,52
hsa-miR-19a-5p,1,52,0,0,0,0,0,0
hsa-miR-19b-1-5p,11,8,0,4,0,6,14,10
hsa-miR-19b-2-5p,11,13,0,0,0,10,11,0
hsa-miR-19b-3p,15,78,134,69,53,140,196,178
hsa-miR-200a-3p,38,27,93,40,50,100,850,243
hsa-miR-200a-5p,21,52,46,43,33,32,78,48
hsa-miR-200b-3p,27,41,121,36,75,124,826,279
hsa-miR-200b-5p,19,18,23,12,17,16,88,40
hsa-miR-200c-3p,34,50,136,69,120,154,1258,261
hsa-miR-200c-5p,16,28,24,26,17,225,55,16
hsa-miR-202-3p,3717,4039,2335,1234,3539,11996,4539,3566
hsa-miR-202-5p,559,1365,2766,1878,1186,4835,2235,3726
hsa-miR-203a-3p,1276,882,5957,656,1211,520,58553,731
hsa-miR-203a-5p,21,37,31,9,9,13,89,14
hsa-miR-203b-3p,38,17,28,23,19,27,138,31
hsa-miR-203b-5p,259,113,552,68,152,56,4569,79
hsa-miR-204-3p,12,20,17,10,13,30,40,17
hsa-miR-204-5p,7,20,47,14,28,60,17,54
hsa-miR-205-3p,13,13,25,9,18,19,42,19
hsa-miR-205-5p,128,144,762,115,135,132,6405,440
hsa-miR-2052,5,11,0,0,0,0,0,0
hsa-miR-206,9,19,12,12,15,26,29,11
hsa-miR-208a-3p,0,0,11,4,8,8,11,10
hsa-miR-208a-5p,85,278,217,186,286,314,244,144
hsa-miR-208b-3p,12,30,28,14,11,10,41,13
hsa-miR-208b-5p,14,13,19,23,6,12,15,10
hsa-miR-20a-3p,0,0,0,0,0,2,14,0
hsa-miR-20a-5p,130,227,305,213,176,277,418,408
hsa-miR-20b-3p,0,0,0,0,0,4,11,0
hsa-miR-20b-5p,44,90,128,91,30,131,109,81
hsa-miR-21-3p,48,57,93,71,50,133,115,105
hsa-miR-21-5p,8638,11834,10417,6031,9939,25382,22812,17782
hsa-miR-210-3p,61,127,241,116,44,187,305,142
hsa-miR-210-5p,11,37,31,19,39,41,46,24
hsa-miR-211-3p,15,37,42,35,25,28,39,17
hsa-miR-211-5p,478,214,320,247,80,145,456,361
hsa-miR-2110,33,101,66,66,74,161,115,41
hsa-miR-2113,13,6,17,7,6,73,26,29
hsa-miR-2114-3p,8,127,0,8,0,0,0,10
hsa-miR-2114-5p,27,97,47,31,36,48,40,27
