miRNA,46-UMIs,31-UMIs,56-UMIs,1A-UMIs,24-UMIs,57-UMIs,58-UMIs,54-UMIs
hsa-miR-2115-3p,8,134,17,8,10,13,18,10
hsa-miR-2115-5p,29,42,59,23,38,27,58,58
hsa-miR-2116-3p,15,21,28,16,12,44,38,19
hsa-miR-2116-5p,43,47,49,39,41,44,92,38
hsa-miR-2117,13,15,30,13,17,12,32,28
hsa-miR-212-3p,52,47,52,59,32,60,131,114
hsa-miR-212-5p,16,15,16,17,22,31,33,36
hsa-miR-214-3p,44,33,57,22,43,66,61,67
hsa-miR-214-5p,7,18,12,5,14,12,17,13
hsa-miR-215-3p,8,12,14,12,10,9,18,12
hsa-miR-215-5p,42,36,43,45,31,16,43,17
hsa-miR-216a-3p,2,10,25,10,10,15,14,13
hsa-miR-216a-5p,10,26,50,20,34,40,60,26
hsa-miR-216b-3p,22,62,75,38,37,53,82,59
hsa-miR-217,64,153,129,203,121,136,293,105
hsa-miR-218-1-3p,58,54,59,67,43,63,108,49
hsa-miR-218-2-3p,449,819,905,1251,554,669,2063,696
hsa-miR-218-5p,31,61,100,41,67,84,114,117
hsa-miR-219a-1-3p,20,30,42,29,24,15,57,19
hsa-miR-219a-2-3p,5,12,13,0,9,10,14,0
hsa-miR-219a-5p,0,0,10,0,8,7,10,0
hsa-miR-219b-3p,12,17,12,8,11,6,24,21
hsa-miR-219b-5p,3681,16799,20853,18329,16345,16325,37705,12035
hsa-miR-22-3p,118,415,450,161,198,582,892,373
hsa-miR-22-5p,46,46,49,16,28,35,47,26
hsa-miR-221-3p,725,658,597,265,288,1365,2279,660
hsa-miR-221-5p,10,11,19,6,2,11,9,12
hsa-miR-222-3p,60,70,120,44,47,240,233,93
hsa-miR-222-5p,15,40,32,17,9,39,64,20
hsa-miR-223-3p,53,462,207,39,192,94,2203,892
hsa-miR-223-5p,26,47,19,20,13,22,105,28
hsa-miR-224-3p,0,0,0,0,0,14,15,0
hsa-miR-224-5p,27,29,94,24,37,30,591,51
hsa-miR-2276-3p,17,22,25,17,24,86,48,25
hsa-miR-2276-5p,20,45,38,28,39,45,64,42
hsa-miR-2277-3p,35,94,77,79,66,84,147,64
hsa-miR-2277-5p,38,45,35,35,18,25,80,26
hsa-miR-2278,7,17,9,0,11,17,15,0
hsa-miR-2355-3p,7,23,41,20,10,9,21,21
hsa-miR-2392,57,135,149,136,194,202,171,99
hsa-miR-23a-3p,532,766,1051,435,365,666,3246,783
hsa-miR-23a-5p,52,68,83,66,66,45,72,44
hsa-miR-23b-3p,226,342,734,364,356,671,1282,858
hsa-miR-23b-5p,18,44,24,18,22,61,52,27
hsa-miR-23c,5,11,0,0,0,0,0,0
hsa-miR-24-1-5p,0,0,13,0,11,4,13,0
hsa-miR-24-2-5p,7,12,0,18,0,9,13,19
hsa-miR-24-3p,219,465,719,369,320,730,1620,789
hsa-miR-2467-3p,12,9,10,8,10,10,19,13
hsa-miR-2467-5p,10,16,19,12,15,14,35,7
hsa-miR-25-3p,1209,1715,1743,1351,1199,2588,4160,2852
hsa-miR-25-5p,119,244,285,217,262,449,264,249
hsa-miR-2681-3p,28,45,78,28,28,35,44,42
hsa-miR-2681-5p,14,14,19,17,20,31,31,30
hsa-miR-2682-3p,70,392,480,407,501,469,240,246
hsa-miR-2682-5p,24,46,31,36,19,22,92,41
hsa-miR-26a-1-3p,12,14,6,9,18,17,5,11
hsa-miR-26a-2-3p,7,11,0,4,0,14,11,13
hsa-miR-26a-5p,2451,2359,4591,1985,2948,5553,4580,7203
hsa-miR-26b-3p,9,20,22,16,38,30,41,15
hsa-miR-26b-5p,882,1138,1782,1113,1315,2146,2584,2786
hsa-miR-27a-3p,460,628,817,506,279,885,2150,815
hsa-miR-27a-5p,11,16,29,18,9,15,19,18
hsa-miR-27b-3p,2665,4406,5939,4468,2088,7675,14281,6396
hsa-miR-27b-5p,73,20,54,21,17,26,72,113
hsa-miR-28-3p,336,411,633,477,405,1367,796,1159
hsa-miR-28-5p,17,60,105,74,92,87,138,77
hsa-miR-2861,54,149,146,142,177,194,202,109
hsa-miR-2909,19,45,53,30,25,37,118,51
hsa-miR-296-3p,112,169,173,78,64,337,140,168
hsa-miR-296-5p,23,83,69,50,108,99,51,36
hsa-miR-298,66,79,80,83,104,84,296,98
hsa-miR-299-3p,22,40,41,26,10,44,42,31
hsa-miR-299-5p,17,40,41,24,25,36,30,57
hsa-miR-29a-3p,710,946,1387,814,592,2712,2067,1841
hsa-miR-29a-5p,10,17,14,0,10,12,16,0
hsa-miR-29b-1-5p,6,15,17,11,2,19,7,11
hsa-miR-29b-2-5p,55,104,166,103,16,37,39,57
hsa-miR-29b-3p,71,36,166,83,78,135,180,209
hsa-miR-29c-3p,410,441,378,282,232,531,1386,772
hsa-miR-29c-5p,27,31,41,32,37,33,66,58
hsa-miR-300,1,13,16,0,6,0,0,0
hsa-miR-301a-3p,3,11,10,5,4,6,14,14
hsa-miR-301b-5p,6,16,14,21,5,14,21,3
hsa-miR-302a-5p,0,0,11,0,7,5,18,0
hsa-miR-302b-5p,15,8,14,5,6,29,17,22
hsa-miR-302c-5p,17,26,15,16,16,27,28,21
hsa-miR-302d-3p,0,0,15,10,14,0,0,7
hsa-miR-302d-5p,0,0,0,4,0,23,13,17
hsa-miR-302e,0,0,10,0,9,12,16,0
hsa-miR-3064-3p,13,15,17,11,6,10,14,12
hsa-miR-3064-5p,124,620,716,222,436,256,560,280
hsa-miR-30a-3p,684,1463,1399,1338,575,1372,1357,1650
hsa-miR-30a-5p,1744,6007,6828,5026,2234,4364,6817,6369
hsa-miR-30b-3p,10,29,20,26,11,18,25,19
hsa-miR-30b-5p,35,36,84,29,29,72,85,61
hsa-miR-30c-1-3p,24,82,69,83,86,98,83,84
hsa-miR-30c-2-3p,44,101,117,85,36,73,87,107
hsa-miR-30c-5p,60,140,341,282,120,234,178,350
hsa-miR-30d-3p,11,35,25,25,30,24,32,22
hsa-miR-30d-5p,718,1636,2605,1689,1350,2482,2818,3564
hsa-miR-30e-3p,78,166,227,154,105,179,229,331
hsa-miR-30e-5p,294,809,1222,790,441,1185,2114,1827
hsa-miR-31-3p,64,126,182,112,40,131,59,77
hsa-miR-31-5p,59,53,164,61,95,264,242,268
hsa-miR-3115,52,85,79,162,165,178,142,53
hsa-miR-3116,0,0,0,3,0,7,15,10
hsa-miR-3117-3p,0,0,0,4,0,3,10,12
hsa-miR-3117-5p,15,43,51,52,59,47,46,50
hsa-miR-3118,5,12,10,0,7,10,10,0
hsa-miR-3120-3p,0,0,9,3,14,5,10,14
hsa-miR-3121-3p,5,10,12,0,10,8,12,0
hsa-miR-3121-5p,0,0,13,0,3,7,12,0
hsa-miR-3122,10,37,48,12,23,77,25,12
hsa-miR-3123,0,0,0,0,0,17,5,0
hsa-miR-3124-3p,35,49,69,55,98,65,92,40
hsa-miR-3124-5p,56,182,207,134,139,116,172,163
hsa-miR-3125,69,80,88,74,94,68,175,42
hsa-miR-3126-3p,56,55,76,78,56,80,106,61
hsa-miR-3126-5p,40,88,87,80,45,51,133,52
hsa-miR-3127-3p,13,17,15,21,9,19,25,18
hsa-miR-3127-5p,34,36,51,33,34,54,45,44
hsa-miR-3128,15,19,12,8,9,18,17,10
hsa-miR-3129-3p,19,29,40,22,25,28,60,13
hsa-miR-3129-5p,18,49,33,32,74,42,29,22
hsa-miR-3130-3p,34,72,54,37,24,46,60,39
hsa-miR-3130-5p,434,700,687,977,716,1432,1528,911
hsa-miR-3131,50,100,110,116,82,109,119,88
hsa-miR-3132,18,43,27,22,38,25,61,22
hsa-miR-3133,2,16,13,0,12,6,13,0
hsa-miR-3134,0,0,19,5,9,13,18,11
hsa-miR-3135b,220,257,324,389,222,401,1365,280
hsa-miR-3136-3p,50,182,166,145,170,148,256,105
hsa-miR-3136-5p,11,12,17,12,10,9,18,17
hsa-miR-3137,21,24,27,14,23,28,39,17
hsa-miR-3138,36,39,42,32,39,30,41,29
hsa-miR-3139,8,23,0,0,0,4,10,0
hsa-miR-3140-3p,18,13,17,5,19,97,17,12
hsa-miR-3140-5p,11,15,0,0,0,0,0,0
hsa-miR-3141,60,141,100,81,150,138,120,108
hsa-miR-3142,19,45,68,26,21,19,57,41
hsa-miR-3143,16,16,27,27,19,29,57,19
hsa-miR-3144-3p,74,346,536,251,278,226,297,368
hsa-miR-3144-5p,0,0,0,5,0,10,13,14
hsa-miR-3145-3p,13,17,13,9,6,13,13,16
hsa-miR-3145-5p,16,58,21,23,17,94,27,16
hsa-miR-3146,0,0,18,0,17,15,26,0
hsa-miR-3147,56,135,158,119,222,233,460,106
hsa-miR-3150a-3p,0,0,13,15,9,6,26,11
hsa-miR-3150b-3p,25,48,55,47,51,49,62,52
hsa-miR-3150b-5p,26,37,43,36,19,37,92,41
hsa-miR-3151-3p,64,91,106,66,55,140,109,94
hsa-miR-3151-5p,13,30,28,13,12,22,52,21
hsa-miR-3152-3p,61,62,65,73,45,39,47,76
hsa-miR-3152-5p,13,34,30,19,23,19,33,10
hsa-miR-3153,22,27,36,27,17,23,47,31
hsa-miR-3154,19,27,26,24,21,33,41,29
hsa-miR-3155a,24,111,39,33,49,58,51,24
hsa-miR-3155b,29,58,90,67,42,63,126,54
hsa-miR-3156-3p,31,42,28,26,30,48,51,27
hsa-miR-3156-5p,7,12,12,0,4,0,0,0
hsa-miR-3157-3p,15,142,70,40,18,32,99,53
hsa-miR-3157-5p,8,20,27,11,10,17,31,40
hsa-miR-3158-3p,9,22,44,14,23,16,49,19
hsa-miR-3159,15,32,40,33,9,30,64,32
hsa-miR-3160-3p,250,25,43,21,6,11,327,34
hsa-miR-3160-5p,15,11,23,3,3,18,17,11
hsa-miR-3161,9,14,17,16,20,21,33,12
hsa-miR-3162-3p,62,97,54,67,103,128,138,51
hsa-miR-3162-5p,34,106,105,63,103,66,49,53
hsa-miR-3163,17,29,48,36,28,19,34,22
hsa-miR-3164,12,12,11,13,13,14,15,10
hsa-miR-3165,0,0,15,5,3,11,13,10
hsa-miR-3166,11,40,67,22,4,28,33,43
hsa-miR-3167,21,32,35,41,16,17,46,37
hsa-miR-3168,240,262,903,256,216,174,120,326
hsa-miR-3169,10,6,0,0,0,0,0,0
hsa-miR-3170,24,54,73,42,56,39,151,56
hsa-miR-3171,8,47,73,56,13,19,34,44
hsa-miR-3173-3p,14,19,33,12,23,27,14,17
hsa-miR-3173-5p,19,39,60,29,39,33,30,28
hsa-miR-3174,224,1447,1336,1292,1508,1886,1378,608
hsa-miR-3175,1800,3641,4116,3583,3503,2905,20473,3292
hsa-miR-3176,85,217,286,218,129,329,259,227
hsa-miR-3177-3p,16,21,33,21,30,22,60,14
hsa-miR-3177-5p,10,24,31,27,17,30,38,16
hsa-miR-3178,38,61,45,43,53,74,134,63
hsa-miR-3179,11,23,13,9,8,17,18,13
hsa-miR-3180,15,59,48,28,58,43,43,44
hsa-miR-3180-3p,13,21,28,20,12,31,34,24
hsa-miR-3180-5p,51,81,85,59,94,102,137,66
hsa-miR-3181,25,52,50,49,26,69,79,34
hsa-miR-3182,34,25,30,19,11,33,20,30
hsa-miR-3183,53,119,90,43,45,87,117,69
hsa-miR-3185,29,38,43,29,29,47,97,33
hsa-miR-3186-3p,53,110,129,130,36,47,166,137
hsa-miR-3186-5p,12,15,23,0,14,14,11,0
hsa-miR-3187-3p,20,52,39,47,41,48,55,33
hsa-miR-3187-5p,333,280,400,263,147,158,526,415
hsa-miR-3188,15,23,32,31,24,44,54,30
hsa-miR-3189-3p,17,25,24,31,29,35,51,25
hsa-miR-3189-5p,26,14,32,18,18,17,22,25
hsa-miR-3190-3p,10,9,13,11,5,4,27,12
hsa-miR-3190-5p,261,614,766,466,441,525,1910,723
hsa-miR-3191-3p,10,7,14,7,11,0,0,21
hsa-miR-3191-5p,14,44,30,28,28,20,36,23
hsa-miR-3192-3p,119,245,313,202,156,166,343,277
hsa-miR-3192-5p,9,24,23,16,9,17,37,14
hsa-miR-3193,15,27,18,11,38,44,34,15
hsa-miR-3194-3p,12,13,17,12,21,17,11,17
hsa-miR-3194-5p,119,147,185,109,39,124,656,166
hsa-miR-3195,91,330,302,224,171,289,464,232
hsa-miR-3196,29,49,44,30,38,50,76,38
hsa-miR-3197,21,52,55,41,52,78,70,46
hsa-miR-3198,41,48,44,56,48,54,79,33
hsa-miR-3199,3,19,14,8,10,19,16,10
hsa-miR-32-3p,0,0,11,0,1,0,0,0
hsa-miR-32-5p,41,93,114,35,34,142,109,119
hsa-miR-3200-3p,34,36,43,30,25,30,149,28
hsa-miR-3200-5p,22,76,72,55,43,42,201,45
hsa-miR-3201,0,0,0,13,0,2,18,6
hsa-miR-3202,22,29,19,24,20,26,26,27
hsa-miR-320a,991,1387,1202,467,1187,2282,2240,1302
hsa-miR-320b,422,603,302,170,379,349,615,217
hsa-miR-320c,442,592,330,185,430,389,669,225
hsa-miR-320d,152,183,122,72,150,129,279,93
hsa-miR-320e,324,464,457,285,143,168,1223,274
hsa-miR-323a-3p,17,80,57,28,57,240,109,186
hsa-miR-323a-5p,45,117,126,99,42,62,104,111
hsa-miR-323b-3p,23,60,33,38,29,174,84,140
hsa-miR-323b-5p,25,37,46,42,32,61,76,56
hsa-miR-324-3p,22,34,45,47,27,64,60,46
hsa-miR-324-5p,90,91,195,115,64,142,188,125
hsa-miR-325,20,8,11,6,5,11,18,43
hsa-miR-326,165,164,215,117,109,108,158,194
hsa-miR-328-3p,48,228,262,151,236,281,402,191
hsa-miR-328-5p,48,44,45,62,52,55,69,36
hsa-miR-329-3p,22,5,18,8,7,37,20,32
hsa-miR-329-5p,16,12,24,12,16,47,17,18
hsa-miR-330-3p,12,17,19,6,14,4,23,20
hsa-miR-330-5p,21,14,27,12,7,15,20,17
hsa-miR-331-3p,9,11,22,14,14,18,27,14
hsa-miR-331-5p,28,32,56,31,28,59,43,27
hsa-miR-335-3p,21,51,50,43,21,40,75,38
hsa-miR-335-5p,57,71,102,63,63,203,96,138
hsa-miR-337-3p,15,14,25,9,17,17,22,20
hsa-miR-337-5p,63,127,142,120,69,153,307,139
hsa-miR-338-3p,13,18,35,39,17,28,66,58
hsa-miR-338-5p,25,32,53,33,22,36,54,32
hsa-miR-339-3p,114,277,280,194,311,362,405,230
hsa-miR-339-5p,54,104,138,133,84,176,114,229
hsa-miR-33a-3p,25,18,39,20,18,9,56,21
hsa-miR-33a-5p,1,30,46,34,8,20,59,31
hsa-miR-33b-3p,23,64,34,27,45,49,71,46
hsa-miR-33b-5p,12,35,34,23,9,16,33,26
hsa-miR-340-3p,13,26,25,13,25,32,19,16
hsa-miR-340-5p,16,22,34,19,36,28,44,55
hsa-miR-342-3p,110,231,295,213,245,309,371,393
hsa-miR-342-5p,8,31,19,24,14,38,27,16
hsa-miR-345-3p,31,66,62,34,142,41,69,52
hsa-miR-345-5p,5,31,47,19,20,35,50,35
hsa-miR-346,16,36,42,20,22,21,42,25
hsa-miR-34a-3p,10,35,25,13,27,11,29,18
hsa-miR-34a-5p,162,269,670,219,164,391,1146,486
hsa-miR-34b-3p,4,11,16,14,6,26,27,8
hsa-miR-34b-5p,88,37,76,32,11,31,152,114
hsa-miR-34c-3p,54,134,171,127,153,126,212,128
hsa-miR-34c-5p,11,13,17,11,35,31,36,30
hsa-miR-3529-5p,6,10,11,0,7,0,0,0
hsa-miR-3591-5p,19,13,10,13,0,8,25,13
hsa-miR-3605-3p,64,109,130,65,148,103,128,121
hsa-miR-3605-5p,12,30,18,9,12,12,18,15
hsa-miR-3606-3p,0,0,11,10,11,5,28,10
hsa-miR-3607-3p,0,0,0,0,0,10,8,0
hsa-miR-3609,7,19,34,13,23,21,23,21
hsa-miR-361-3p,69,86,154,139,89,199,174,282
hsa-miR-361-5p,205,277,435,208,290,680,620,592
hsa-miR-3610,24,40,37,31,59,73,49,21
hsa-miR-3611,0,0,7,0,10,0,0,0
hsa-miR-3612,17,37,21,23,20,22,27,14
hsa-miR-3613-3p,173,109,192,74,88,92,138,87
hsa-miR-3613-5p,41,74,195,146,122,201,154,224
hsa-miR-3614-3p,11,21,0,0,0,6,12,0
hsa-miR-3614-5p,12,17,32,13,21,23,30,11
hsa-miR-3615,88,287,270,216,167,268,454,219
hsa-miR-3616-3p,37,63,47,37,54,47,87,24
hsa-miR-3616-5p,0,16,0,0,0,0,0,0
hsa-miR-3617-3p,101,23,32,36,45,415,53,16
hsa-miR-3618,0,0,11,0,12,0,0,0
hsa-miR-3619-3p,32,78,115,66,69,61,70,63
hsa-miR-3619-5p,40,37,69,41,32,49,65,64
hsa-miR-362-3p,0,0,5,0,11,38,9,0
hsa-miR-362-5p,10,18,17,11,22,14,24,15
hsa-miR-3620-3p,37,39,60,45,65,47,54,49
hsa-miR-3620-5p,24,18,66,30,16,33,68,64
hsa-miR-3621,63,57,60,40,43,58,84,39
hsa-miR-3622a-3p,27,19,31,30,32,32,56,37
hsa-miR-3622a-5p,8,13,18,13,6,10,24,6
hsa-miR-3622b-3p,334,297,313,359,252,389,1109,280
hsa-miR-363-3p,26,19,6,6,28,11,130,71
hsa-miR-363-5p,79,115,170,114,75,253,308,89
hsa-miR-3646,17,20,34,13,8,17,48,25
hsa-miR-3648,21,66,53,53,45,59,97,21
hsa-miR-3649,20,11,20,17,15,28,37,25
hsa-miR-3650,0,0,18,0,9,9,13,0
hsa-miR-3651,266,432,430,613,553,683,1366,339
hsa-miR-3652,88,184,179,262,74,123,396,120
hsa-miR-3653-3p,6,14,17,10,13,20,17,7
hsa-miR-3653-5p,15,29,56,31,24,32,54,25
hsa-miR-3654,23,46,61,64,14,59,56,21
hsa-miR-3655,35,41,60,53,23,55,80,39
hsa-miR-3656,94,215,180,179,266,240,314,191
hsa-miR-3657,0,0,12,0,11,0,0,0
hsa-miR-3658,0,0,10,0,4,6,12,0
hsa-miR-3659,19,39,52,17,30,34,33,42
hsa-miR-365a-3p,7,11,26,18,17,48,22,44
hsa-miR-365a-5p,33,71,64,66,46,77,56,47
hsa-miR-365b-3p,1,10,29,12,13,43,29,31
hsa-miR-365b-5p,2,58,9,13,10,12,15,11
hsa-miR-3660,0,0,14,0,11,0,0,0
hsa-miR-3661,23,23,57,29,70,39,76,36
hsa-miR-3662,13,57,46,30,28,50,25,27
hsa-miR-3663-3p,22,59,41,47,43,54,86,42
hsa-miR-3663-5p,48,84,96,73,72,96,148,40
hsa-miR-3664-3p,0,0,10,0,6,0,0,0
hsa-miR-3664-5p,0,0,0,0,0,5,10,0
hsa-miR-3665,59,276,240,112,185,206,237,143
hsa-miR-3666,20,26,43,31,16,21,47,49
hsa-miR-3667-3p,22,28,23,13,19,26,65,33
hsa-miR-3667-5p,14,23,27,12,8,17,38,27
hsa-miR-3668,11,7,29,3,10,11,25,10
hsa-miR-3669,12,51,45,38,14,57,40,32
hsa-miR-367-3p,12,18,33,30,11,14,56,13
hsa-miR-367-5p,30,68,82,65,37,61,163,101
hsa-miR-3670,10,10,17,0,8,5,16,0
hsa-miR-3671,16,28,40,19,5,76,42,20
hsa-miR-3673,50,209,240,230,118,179,269,160
hsa-miR-3674,0,0,0,10,0,0,0,2
hsa-miR-3675-3p,24,32,36,28,37,52,31,31
hsa-miR-3675-5p,40,72,71,51,61,83,70,49
hsa-miR-3677-3p,9,29,28,12,16,28,21,17
hsa-miR-3677-5p,14,31,37,25,39,25,40,25
hsa-miR-3678-3p,34,29,43,17,20,78,25,34
hsa-miR-3678-5p,19,28,25,10,16,26,36,40
hsa-miR-3679-3p,58,61,55,46,40,38,133,35
hsa-miR-3679-5p,49,86,40,53,68,103,58,40
hsa-miR-3680-3p,26,56,86,59,33,57,86,64
hsa-miR-3680-5p,0,0,12,0,5,0,0,0
hsa-miR-3681-3p,14,12,21,0,12,14,16,0
hsa-miR-3681-5p,8,23,24,0,8,8,16,0
hsa-miR-3682-3p,29,27,22,16,13,15,36,17
hsa-miR-3682-5p,10,5,11,0,5,12,8,0
hsa-miR-3683,3,33,0,0,0,14,8,0
hsa-miR-3684,8,17,27,8,15,16,23,16
hsa-miR-3685,39,41,38,48,37,52,59,30
hsa-miR-3686,0,0,7,0,11,0,0,0
hsa-miR-3687,12,34,37,26,20,31,60,35
hsa-miR-3688-3p,0,0,7,0,11,6,20,0
hsa-miR-3688-5p,0,0,16,0,5,4,13,0
hsa-miR-3689a-3p,0,0,0,12,0,0,0,2
hsa-miR-3689a-5p,0,0,0,0,0,14,8,0
hsa-miR-3689b-3p,9,17,0,11,0,5,18,4
hsa-miR-3689d,3,16,18,9,14,10,19,10
hsa-miR-3689f,15,14,27,31,14,13,29,17
hsa-miR-369-3p,32,55,49,31,23,117,111,89
hsa-miR-369-5p,30,52,70,26,37,121,109,138
hsa-miR-3690,13,25,12,13,7,21,21,23
hsa-miR-3691-3p,16,93,44,32,31,116,76,20
hsa-miR-3691-5p,69,66,71,89,83,111,253,73
hsa-miR-3692-3p,17,21,18,20,17,16,35,26
hsa-miR-3692-5p,19,37,49,48,43,48,59,47
hsa-miR-370-3p,38,147,143,84,89,170,237,636
hsa-miR-370-5p,0,0,0,0,0,7,14,0
hsa-miR-3713,5,16,14,9,8,16,11,11
hsa-miR-3714,6,19,11,0,8,14,23,0
hsa-miR-371a-3p,13,33,40,35,25,35,100,34
hsa-miR-371b-3p,6,13,9,9,21,11,15,16
hsa-miR-371b-5p,0,0,22,12,9,28,22,17
hsa-miR-372-3p,5,15,29,0,2,19,12,0
hsa-miR-372-5p,0,0,11,0,2,24,7,0
hsa-miR-373-3p,6,18,10,0,7,8,13,0
hsa-miR-373-5p,8,25,33,24,40,34,35,25
hsa-miR-374a-3p,0,0,19,11,15,18,18,16
hsa-miR-374a-5p,10,20,34,20,30,41,38,45
hsa-miR-374b-5p,0,0,16,14,6,22,21,21
hsa-miR-374c-5p,5,18,20,5,8,12,22,14
hsa-miR-375,144,446,122,116,160,246,1311,129
hsa-miR-376a-2-5p,0,0,0,6,0,0,0,12
hsa-miR-376a-3p,4,26,40,11,15,40,72,81
hsa-miR-376a-5p,0,0,0,8,0,0,0,11
hsa-miR-376b-3p,0,0,18,0,5,39,37,29
hsa-miR-376c-3p,17,22,47,19,38,132,82,124
hsa-miR-376c-5p,0,0,0,0,0,22,11,0
hsa-miR-377-3p,17,33,33,11,5,78,72,68
hsa-miR-377-5p,7,19,16,14,8,20,25,19
hsa-miR-378a-3p,172,166,150,57,99,188,419,267
hsa-miR-378a-5p,13,19,14,10,20,48,14,22
hsa-miR-378b,6,11,15,11,6,4,10,12
hsa-miR-378c,34,49,30,19,29,36,121,43
hsa-miR-378d,13,19,11,0,0,73,17,0
hsa-miR-378e,0,0,14,3,7,0,0,18
