miRNA,46-UMIs,31-UMIs,56-UMIs,1A-UMIs,24-UMIs,57-UMIs,58-UMIs,54-UMIs
hsa-miR-4694-5p,10,17,17,12,3,16,18,13
hsa-miR-4695-3p,18,84,85,67,62,58,64,64
hsa-miR-4695-5p,26,22,38,20,27,35,41,29
hsa-miR-4696,37,107,128,97,33,69,365,102
hsa-miR-4697-3p,38,131,153,145,92,135,79,87
hsa-miR-4697-5p,43,49,45,28,25,32,55,20
hsa-miR-4698,6,10,14,10,12,31,30,19
hsa-miR-4699-3p,0,0,15,10,9,4,11,8
hsa-miR-4699-5p,0,0,0,0,0,6,10,0
hsa-miR-4700-3p,56,216,231,117,59,90,173,175
hsa-miR-4700-5p,90,134,126,89,90,74,306,119
hsa-miR-4701-3p,14,11,18,5,26,17,26,14
hsa-miR-4701-5p,21,21,27,25,18,27,42,28
hsa-miR-4703-5p,6,11,0,0,0,6,10,0
hsa-miR-4704-3p,0,0,11,0,0,0,0,0
hsa-miR-4704-5p,0,0,7,12,10,24,14,5
hsa-miR-4705,0,0,14,11,11,18,26,14
hsa-miR-4706,57,67,51,48,77,82,96,49
hsa-miR-4707-3p,53,138,93,94,127,167,150,93
hsa-miR-4707-5p,63,166,144,115,148,217,150,109
hsa-miR-4708-3p,31,28,33,17,11,18,45,26
hsa-miR-4709-3p,6,15,24,9,23,33,14,11
hsa-miR-4709-5p,31,32,39,18,16,25,24,22
hsa-miR-4710,25,42,42,38,25,26,38,33
hsa-miR-4711-3p,16,67,45,47,57,57,70,43
hsa-miR-4711-5p,9,22,25,26,15,19,27,20
hsa-miR-4712-5p,149,86,143,144,140,202,269,223
hsa-miR-4713-3p,7,21,36,29,18,29,35,20
hsa-miR-4713-5p,27,35,30,35,29,34,57,21
hsa-miR-4714-3p,122,208,266,173,77,102,493,200
hsa-miR-4714-5p,17,42,44,23,22,28,27,21
hsa-miR-4715-3p,3,17,10,0,6,2,21,0
hsa-miR-4715-5p,19,22,32,24,26,29,56,31
hsa-miR-4716-3p,0,0,0,2,0,0,0,10
hsa-miR-4716-5p,23,51,78,42,56,64,49,59
hsa-miR-4717-5p,64,29,33,50,28,53,105,29
hsa-miR-4718,24,90,101,85,82,75,83,49
hsa-miR-4720-3p,6,16,0,0,0,8,21,0
hsa-miR-4720-5p,0,0,10,0,1,0,0,0
hsa-miR-4721,50,99,89,72,83,95,133,48
hsa-miR-4722-3p,19,22,13,13,16,15,27,9
hsa-miR-4722-5p,17,56,55,38,48,62,69,32
hsa-miR-4723-3p,11,26,19,11,12,26,30,23
hsa-miR-4723-5p,6,11,11,11,2,20,20,18
hsa-miR-4724-3p,12,30,20,14,23,7,55,14
hsa-miR-4724-5p,52,42,72,55,41,57,55,72
hsa-miR-4725-3p,107,262,268,170,265,227,334,154
hsa-miR-4725-5p,7,34,26,17,21,17,35,20
hsa-miR-4726-3p,80,89,154,85,60,79,210,142
hsa-miR-4726-5p,23,54,48,37,17,32,49,35
hsa-miR-4727-3p,15,26,24,21,14,17,19,16
hsa-miR-4727-5p,5,14,18,12,7,17,18,8
hsa-miR-4728-3p,36,61,49,29,47,53,98,125
hsa-miR-4728-5p,12,14,20,10,19,8,14,12
hsa-miR-4729,29,22,44,24,53,252,60,67
hsa-miR-4730,23,40,44,26,14,31,36,39
hsa-miR-4731-3p,15,29,47,15,18,57,25,39
hsa-miR-4732-3p,11,31,29,17,35,36,44,15
hsa-miR-4732-5p,20,23,19,20,24,26,42,31
hsa-miR-4733-3p,8,13,12,0,8,22,6,0
hsa-miR-4733-5p,36,62,66,58,34,51,51,61
hsa-miR-4734,50,64,98,51,44,47,96,93
hsa-miR-4735-5p,0,0,24,0,4,12,14,0
hsa-miR-4736,5,12,0,0,0,1,11,0
hsa-miR-4737,28,19,15,16,9,39,48,32
hsa-miR-4738-3p,43,139,173,98,28,59,91,136
hsa-miR-4738-5p,28,46,49,36,201,42,104,39
hsa-miR-4739,20,30,55,24,72,82,47,40
hsa-miR-4740-3p,81,210,239,250,144,197,450,144
hsa-miR-4740-5p,123,273,321,267,324,277,323,264
hsa-miR-4741,20,70,42,56,85,66,70,30
hsa-miR-4742-3p,0,0,11,6,20,18,21,10
hsa-miR-4742-5p,7,12,11,0,5,1,23,0
hsa-miR-4743-3p,3,12,19,6,26,5,11,10
hsa-miR-4743-5p,11,21,16,7,16,30,27,17
hsa-miR-4744,29,45,38,42,26,45,48,51
hsa-miR-4745-3p,66,105,122,49,72,126,245,62
hsa-miR-4745-5p,20,72,51,47,38,62,105,43
hsa-miR-4746-3p,171,455,474,369,195,275,786,372
hsa-miR-4746-5p,53,23,41,22,20,17,88,87
hsa-miR-4747-3p,17,32,24,17,18,41,22,22
hsa-miR-4747-5p,6,13,0,10,0,11,11,5
hsa-miR-4748,23,76,34,21,43,32,56,37
hsa-miR-4749-3p,18,66,34,40,59,56,35,24
hsa-miR-4749-5p,51,52,36,28,33,26,76,55
hsa-miR-4750-3p,32,92,46,36,122,74,56,33
hsa-miR-4750-5p,34,78,64,53,51,75,78,61
hsa-miR-4751,42,43,67,32,38,46,78,66
hsa-miR-4752,11,16,13,0,8,10,14,0
hsa-miR-4753-3p,6,23,20,12,18,14,14,10
hsa-miR-4753-5p,9,29,22,12,17,17,21,18
hsa-miR-4754,138,469,441,411,417,497,738,338
hsa-miR-4755-3p,10,13,20,15,9,6,14,13
hsa-miR-4755-5p,11,11,18,6,24,32,33,19
hsa-miR-4756-3p,0,0,15,0,2,7,10,0
hsa-miR-4756-5p,3,21,28,15,13,24,38,11
hsa-miR-4757-3p,29,25,15,11,22,28,48,70
hsa-miR-4757-5p,10,20,47,18,10,27,33,31
hsa-miR-4758-3p,23,36,44,36,35,41,58,24
hsa-miR-4758-5p,20,50,53,27,33,46,53,43
hsa-miR-4759,11,12,11,16,12,22,15,13
hsa-miR-4760-3p,5,23,12,0,17,22,21,0
hsa-miR-4760-5p,28,60,68,71,36,52,106,70
hsa-miR-4761-3p,43,70,80,106,52,69,134,60
hsa-miR-4761-5p,6,17,27,11,8,21,28,16
hsa-miR-4763-3p,35,88,71,67,85,104,77,52
hsa-miR-4763-5p,29,38,57,25,72,57,92,37
hsa-miR-4764-3p,94,145,143,126,172,133,164,104
hsa-miR-4764-5p,12,37,21,10,22,20,33,19
hsa-miR-4765,29,31,56,31,22,34,47,31
hsa-miR-4766-3p,7,12,14,14,13,6,12,18
hsa-miR-4766-5p,78,121,150,118,119,160,376,126
hsa-miR-4767,62,99,126,105,48,111,136,83
hsa-miR-4768-3p,6,13,21,0,5,40,61,0
hsa-miR-4768-5p,10,28,36,29,21,27,48,30
hsa-miR-4769-3p,32,102,39,18,69,59,41,30
hsa-miR-4769-5p,22,18,24,11,11,16,15,32
hsa-miR-4770,18,24,37,19,15,10,36,29
hsa-miR-4771,0,0,13,4,4,0,0,10
hsa-miR-4772-3p,10,15,19,7,9,29,11,22
hsa-miR-4773,0,0,10,7,17,19,12,12
hsa-miR-4774-3p,10,5,17,8,7,4,14,20
hsa-miR-4774-5p,10,8,12,0,2,0,0,0
hsa-miR-4775,13,111,21,21,14,29,52,23
hsa-miR-4776-3p,392,1280,1178,1337,1431,1926,1354,1353
hsa-miR-4776-5p,9,10,15,5,37,15,42,18
hsa-miR-4778-3p,24,37,31,39,16,42,74,32
hsa-miR-4778-5p,29,32,31,34,27,34,31,22
hsa-miR-4779,11,27,37,36,24,24,23,28
hsa-miR-4780,14,36,20,23,20,178,60,17
hsa-miR-4781-3p,12,59,31,35,47,23,50,24
hsa-miR-4781-5p,4,14,10,9,15,30,31,11
hsa-miR-4782-3p,3,10,0,0,0,0,0,0
hsa-miR-4782-5p,3,10,17,13,7,14,25,7
hsa-miR-4783-3p,53,114,83,85,104,108,156,66
hsa-miR-4783-5p,40,36,70,52,52,48,108,94
hsa-miR-4784,48,97,173,102,76,100,152,205
hsa-miR-4785,224,403,476,322,276,254,419,481
hsa-miR-4786-3p,20,28,28,19,38,36,53,30
hsa-miR-4786-5p,1,21,12,13,15,12,16,10
hsa-miR-4787-3p,86,111,142,82,107,117,166,118
hsa-miR-4787-5p,74,103,133,64,71,96,172,76
hsa-miR-4788,41,88,118,104,40,65,186,67
hsa-miR-4789-3p,1,11,0,2,0,24,9,11
hsa-miR-4789-5p,0,0,16,0,10,4,25,0
hsa-miR-4790-5p,0,0,0,0,0,12,6,0
hsa-miR-4791,2,16,0,0,0,17,4,0
hsa-miR-4792,31,46,67,54,33,34,100,66
hsa-miR-4793-3p,149,55,106,50,51,76,203,359
hsa-miR-4793-5p,50,66,78,74,110,114,126,64
hsa-miR-4794,15,21,21,9,12,9,30,26
hsa-miR-4795-3p,10,6,10,5,4,5,18,13
hsa-miR-4795-5p,11,24,20,31,11,18,75,30
hsa-miR-4796-3p,0,0,10,0,7,9,16,0
hsa-miR-4796-5p,0,0,10,0,6,4,18,0
hsa-miR-4797-3p,12,40,47,54,42,37,39,27
hsa-miR-4798-3p,75,158,153,190,172,238,321,117
hsa-miR-4798-5p,0,12,16,0,5,0,0,0
hsa-miR-4799-5p,14,31,12,12,11,15,24,32
hsa-miR-4800-3p,12,48,46,35,5,24,31,30
hsa-miR-4800-5p,36,46,79,28,63,60,69,42
hsa-miR-4801,9,13,0,6,0,15,8,17
hsa-miR-4802-3p,18,33,29,16,24,25,26,16
hsa-miR-4802-5p,13,26,22,10,18,15,35,16
hsa-miR-4803,5,16,15,11,14,12,15,12
hsa-miR-4804-3p,27,29,33,22,21,47,57,38
hsa-miR-4804-5p,17,22,20,23,11,30,20,13
hsa-miR-483-3p,186,729,1110,940,809,396,257,2023
hsa-miR-483-5p,4067,5261,1931,1537,3163,8142,3408,4566
hsa-miR-484,52,75,80,34,66,107,126,83
hsa-miR-485-3p,37,153,145,103,99,106,115,272
hsa-miR-485-5p,49,61,45,36,45,131,91,97
hsa-miR-486-3p,184,43,25,4,213,9,322,286
hsa-miR-486-5p,5726,3812,5492,3252,4310,3347,12547,7432
hsa-miR-487a-3p,8,33,11,13,2,12,27,6
hsa-miR-487a-5p,66,110,170,75,93,89,248,122
hsa-miR-487b-3p,47,105,107,120,37,93,239,178
hsa-miR-487b-5p,47,85,116,67,77,78,106,80
hsa-miR-488-3p,348,478,527,514,299,288,906,415
hsa-miR-488-5p,8,13,17,1,16,5,16,11
hsa-miR-489-3p,3,10,0,0,0,0,0,0
hsa-miR-489-5p,5,19,21,18,43,31,24,18
hsa-miR-490-3p,68,110,68,39,39,58,65,37
hsa-miR-490-5p,24,51,66,43,19,55,61,48
hsa-miR-491-3p,31,31,17,14,24,16,41,27
hsa-miR-491-5p,19,31,28,12,13,13,32,15
hsa-miR-492,9,30,28,20,30,39,34,19
hsa-miR-493-3p,18,18,27,11,8,37,40,57
hsa-miR-493-5p,57,167,137,85,208,172,196,130
hsa-miR-494-3p,16,26,29,15,17,35,25,69
hsa-miR-494-5p,0,0,11,11,9,8,16,5
hsa-miR-495-3p,15,17,13,10,14,6,13,12
hsa-miR-495-5p,0,0,20,0,5,13,5,0
hsa-miR-496,2,12,17,10,10,11,18,6
hsa-miR-497-3p,19,36,26,10,37,29,22,28
hsa-miR-497-5p,41,71,126,51,45,149,99,124
hsa-miR-498,30,14,42,25,28,91,56,30
hsa-miR-4999-3p,9,15,18,10,8,75,25,8
hsa-miR-4999-5p,3,10,0,0,0,0,0,0
hsa-miR-499a-3p,17,20,0,0,0,0,0,0
hsa-miR-499a-5p,14,20,0,0,0,10,16,0
hsa-miR-499b-3p,7,36,0,0,0,5,12,0
hsa-miR-499b-5p,0,0,12,0,6,0,0,0
hsa-miR-5000-3p,0,0,12,6,4,6,16,25
hsa-miR-5000-5p,28,6,10,4,4,12,17,11
hsa-miR-5001-3p,10,45,33,37,48,38,57,30
hsa-miR-5001-5p,23,62,71,72,32,96,401,56
hsa-miR-5002-3p,146,262,206,604,180,468,685,186
hsa-miR-5002-5p,5,12,0,0,0,11,15,0
hsa-miR-5003-3p,598,279,212,151,134,151,131,631
hsa-miR-5003-5p,26,52,51,51,79,71,91,40
hsa-miR-5004-3p,13,48,51,34,48,47,37,31
hsa-miR-5004-5p,9,11,15,10,8,17,16,11
hsa-miR-5006-3p,32,56,83,47,51,107,63,41
hsa-miR-5006-5p,20,26,36,21,39,21,43,10
hsa-miR-5007-3p,17,32,32,21,22,14,53,32
hsa-miR-5007-5p,11,34,0,0,0,14,11,0
hsa-miR-5008-3p,246,227,413,312,133,187,433,347
hsa-miR-5008-5p,11,213,21,20,10,44,29,19
hsa-miR-5009-3p,11,9,43,10,9,10,13,8
hsa-miR-5009-5p,15,21,62,16,11,19,19,50
hsa-miR-500a-3p,9,16,33,11,29,26,50,35
hsa-miR-500a-5p,0,0,11,0,1,5,12,0
hsa-miR-500b-3p,0,0,0,15,0,12,21,2
hsa-miR-501-3p,74,191,174,171,254,256,323,171
hsa-miR-501-5p,23,26,35,35,28,55,60,19
hsa-miR-5010-3p,19,26,59,32,26,60,39,22
hsa-miR-5010-5p,9,12,30,25,16,31,21,17
hsa-miR-5011-3p,9,18,0,0,0,8,10,0
hsa-miR-5011-5p,74,189,225,138,163,130,264,164
hsa-miR-502-3p,7,12,18,5,20,18,27,18
hsa-miR-502-5p,0,0,0,13,0,7,16,9
hsa-miR-503-3p,24,45,56,39,33,55,59,65
hsa-miR-503-5p,1149,3250,2841,1787,1269,2699,3588,3637
hsa-miR-504-3p,97,113,145,103,118,108,134,132
hsa-miR-504-5p,13,63,74,73,142,76,119,43
hsa-miR-5047,12,26,19,16,12,24,31,14
hsa-miR-505-3p,11,22,42,27,10,18,46,29
hsa-miR-505-5p,0,0,0,0,0,11,13,0
hsa-miR-506-3p,11,7,14,8,10,52,17,24
hsa-miR-506-5p,0,0,0,0,0,10,8,0
hsa-miR-507,0,0,15,5,8,23,5,12
hsa-miR-508-3p,244,215,152,130,127,932,148,414
hsa-miR-508-5p,140,295,312,329,93,253,746,240
hsa-miR-5087,18,28,46,21,15,25,44,15
hsa-miR-5088-3p,24,38,21,26,80,71,37,39
hsa-miR-5088-5p,149,368,416,407,136,229,629,446
hsa-miR-5089-3p,52,102,81,52,70,320,110,59
hsa-miR-5089-5p,18,31,13,10,9,15,9,7
hsa-miR-509-3-5p,15,98,91,105,24,49,58,39
hsa-miR-509-3p,586,650,369,205,321,2849,430,991
hsa-miR-509-5p,38,106,102,91,38,93,69,101
hsa-miR-5090,42,70,83,50,33,65,105,55
hsa-miR-5091,5,30,19,16,8,19,43,25
hsa-miR-5092,10,17,14,12,20,34,29,19
hsa-miR-5093,5,29,14,3,17,18,18,13
hsa-miR-5094,24,28,42,29,20,32,65,19
hsa-miR-5095,82,90,122,108,55,79,148,110
hsa-miR-5096,15,26,38,23,22,19,32,14
hsa-miR-510-3p,95,241,191,177,96,67,201,315
hsa-miR-510-5p,44,47,82,39,34,48,94,109
hsa-miR-5100,27,125,157,133,72,91,129,72
hsa-miR-511-3p,6,22,18,0,9,12,16,0
hsa-miR-511-5p,3,16,22,10,9,11,16,18
hsa-miR-512-3p,65,49,28,31,23,31,50,52
hsa-miR-512-5p,31,62,54,46,10,42,118,51
hsa-miR-513a-3p,34,76,87,85,23,59,273,67
hsa-miR-513a-5p,26,29,18,20,16,54,48,32
hsa-miR-513b-3p,10,14,12,5,10,11,30,10
hsa-miR-513b-5p,0,0,0,10,0,15,11,10
hsa-miR-513c-3p,0,0,10,0,5,6,13,0
hsa-miR-513c-5p,93,51,54,35,26,232,99,88
hsa-miR-514a-3p,121,239,240,129,111,803,254,513
hsa-miR-514a-5p,9,27,41,21,8,40,22,45
hsa-miR-514b-3p,9,11,6,14,10,18,8,6
hsa-miR-514b-5p,15,18,8,10,12,22,24,10
hsa-miR-515-3p,9,20,16,2,15,16,16,11
hsa-miR-515-5p,0,0,0,0,0,32,4,0
hsa-miR-516a-3p,0,0,0,4,0,7,10,16
hsa-miR-516a-5p,0,0,11,12,11,7,13,6
hsa-miR-516b-3p,6,22,13,0,10,11,24,0
hsa-miR-516b-5p,13,12,32,9,4,16,68,20
hsa-miR-517-5p,0,0,0,0,0,4,11,0
hsa-miR-517a-3p,0,0,0,0,0,11,16,0
hsa-miR-517b-3p,9,21,34,18,21,15,42,17
hsa-miR-5186,21,22,29,12,12,18,46,15
hsa-miR-5187-3p,12,15,20,11,26,23,23,16
hsa-miR-5187-5p,32,47,33,14,24,55,36,67
hsa-miR-5188,3,17,8,7,10,21,11,11
hsa-miR-5189-3p,40,153,116,59,94,113,84,69
hsa-miR-5189-5p,9,21,22,18,19,21,34,20
hsa-miR-518a-3p,21,7,25,17,14,102,37,22
hsa-miR-518b,47,68,59,44,71,35,76,37
hsa-miR-518c-3p,12,9,0,0,0,3,12,0
hsa-miR-518d-3p,15,51,21,14,28,29,35,18
hsa-miR-518e-3p,10,18,23,0,11,15,28,0
hsa-miR-518e-5p,3,53,0,0,0,0,0,0
hsa-miR-5190,46,59,62,46,48,41,63,44
hsa-miR-5191,26,37,57,17,37,101,42,30
hsa-miR-5192,350,379,378,439,158,329,1505,244
hsa-miR-5193,28,61,56,50,46,76,64,37
hsa-miR-5194,25,30,29,18,18,21,50,54
hsa-miR-5195-3p,33,42,41,23,26,31,69,25
hsa-miR-5195-5p,13,29,29,24,24,54,21,22
hsa-miR-5196-3p,39,81,104,70,105,52,74,75
hsa-miR-5196-5p,60,198,178,114,132,177,209,103
hsa-miR-5197-3p,15,18,21,22,18,20,35,23
hsa-miR-5197-5p,14,43,44,33,22,37,49,42
hsa-miR-519d-3p,29,46,46,29,64,29,74,28
hsa-miR-519d-5p,0,0,0,0,0,12,12,0
hsa-miR-519e-5p,0,0,0,0,0,10,12,0
hsa-miR-520a-3p,0,0,22,9,13,10,19,17
hsa-miR-520d-3p,4,24,10,7,7,12,15,12
hsa-miR-520f-3p,0,0,0,0,0,10,9,0
hsa-miR-520g-3p,17,46,78,59,19,38,51,36
hsa-miR-520h,77,71,77,83,95,56,269,155
hsa-miR-521,4,21,10,0,9,12,10,0
hsa-miR-522-3p,9,12,14,9,5,12,15,15
hsa-miR-523-3p,5,11,11,13,7,13,17,8
hsa-miR-524-3p,5,51,21,12,50,27,10,17
hsa-miR-525-3p,12,31,43,33,48,40,38,24
hsa-miR-525-5p,0,0,12,15,2,0,0,4
hsa-miR-526b-5p,0,0,0,0,0,10,6,0
hsa-miR-532-3p,428,1066,1160,1112,1165,1099,1843,696
hsa-miR-532-5p,241,993,1150,939,357,803,1758,815
hsa-miR-539-3p,14,23,48,22,12,30,73,25
hsa-miR-539-5p,0,0,12,0,8,0,0,0
hsa-miR-541-3p,0,0,13,14,9,8,17,13
hsa-miR-541-5p,16,41,43,24,41,87,46,34
hsa-miR-542-3p,186,373,498,410,283,857,552,908
hsa-miR-542-5p,71,93,180,100,101,169,238,216
hsa-miR-543,12,16,16,18,9,38,25,25
hsa-miR-544b,9,15,15,21,7,3,16,3
hsa-miR-545-3p,0,0,4,15,15,6,12,2
hsa-miR-545-5p,0,0,14,0,6,0,0,0
hsa-miR-548a-5p,10,20,17,13,5,22,55,26
hsa-miR-548ac,15,24,38,18,24,27,50,39
hsa-miR-548ad-3p,183,166,274,154,88,151,450,294
hsa-miR-548ad-5p,0,0,14,14,10,8,13,14
hsa-miR-548ae-3p,15,6,13,0,5,2,10,0
hsa-miR-548ag,0,13,16,0,7,10,7,0
hsa-miR-548ah-5p,0,0,0,0,0,2,11,0
hsa-miR-548ai,0,0,11,0,12,0,0,0
hsa-miR-548al,7,13,21,21,12,8,23,6
hsa-miR-548an,0,0,0,0,0,14,5,0
hsa-miR-548ao-3p,11,23,23,7,22,31,28,13
hsa-miR-548ao-5p,6,12,10,0,3,33,9,0
hsa-miR-548ap-3p/548t-3p/548aa,27,10,16,11,10,16,32,29
hsa-miR-548ap-5p/548j-5p,9,28,18,9,13,15,11,14
hsa-miR-548ar-5p,5,12,23,13,7,63,32,12
hsa-miR-548as-3p,0,0,13,0,3,14,10,0
hsa-miR-548as-5p,0,0,15,6,7,10,20,10
hsa-miR-548at-3p,13,14,0,0,0,13,15,0
hsa-miR-548at-5p,0,0,12,0,19,4,13,0
hsa-miR-548au-5p/548c-5p/548o-5p/548am-5p,13,13,26,14,12,27,41,24
hsa-miR-548av-5p/548k,11,29,45,22,18,29,58,19
hsa-miR-548aw,80,73,111,58,73,111,157,139
hsa-miR-548ay-3p,86,335,372,235,193,203,509,265
hsa-miR-548az-5p,1,19,0,0,0,13,9,0
hsa-miR-548b-3p,8,23,16,0,3,12,12,0
hsa-miR-548b-5p,0,0,0,6,0,0,0,10
hsa-miR-548d-3p,11,9,0,0,0,31,24,0
hsa-miR-548d-5p,13,12,0,7,0,7,20,25
hsa-miR-548e-3p,38,9,29,5,15,7,44,45
hsa-miR-548e-5p,18,36,31,28,7,10,39,31
hsa-miR-548f-5p,0,0,10,0,9,7,17,0
hsa-miR-548h-5p,14,17,18,4,10,9,36,24
hsa-miR-548i,0,0,0,0,0,18,8,0
hsa-miR-548l,13,27,28,10,20,32,36,30
hsa-miR-548m,0,0,0,0,0,10,4,0
hsa-miR-548q,15,12,12,0,9,11,10,0
hsa-miR-548t-5p,4,31,16,13,8,18,30,25
hsa-miR-548v,34,14,15,9,4,6,33,20
hsa-miR-548w,0,0,12,0,11,9,11,0
hsa-miR-549a,12,30,11,14,9,12,32,21
hsa-miR-550a-3-5p,0,0,0,0,0,17,13,0
hsa-miR-550a-3p,58,114,109,137,97,90,213,79
hsa-miR-550a-5p,0,0,0,0,0,16,14,0
hsa-miR-550b-3p,19,119,81,165,174,189,120,67
hsa-miR-551a,49,146,162,96,74,125,210,117
hsa-miR-551b-3p,0,0,11,0,10,11,30,0
hsa-miR-551b-5p,11,119,26,14,14,17,14,11
hsa-miR-552-3p,2,21,21,16,18,14,31,14
hsa-miR-552-5p,49,116,79,65,54,107,261,65
hsa-miR-553,6,25,31,24,11,25,17,16
hsa-miR-554,10,19,21,14,13,11,36,24
hsa-miR-555,0,0,0,0,0,11,11,0
hsa-miR-556-3p,0,0,22,0,12,0,0,0
hsa-miR-556-5p,1,13,0,0,0,0,0,0
hsa-miR-557,29,130,89,92,106,93,170,70
hsa-miR-5571-3p,6,16,19,9,2,0,0,11
hsa-miR-5571-5p,0,0,0,4,0,0,0,10
hsa-miR-5572,18,69,74,59,63,75,103,39
hsa-miR-5579-5p,20,28,29,27,8,21,29,24
hsa-miR-558,145,186,222,132,154,161,384,209
hsa-miR-5580-3p,0,0,10,9,6,0,0,10
hsa-miR-5580-5p,3,14,0,0,0,0,0,0
hsa-miR-5581-3p,3,12,0,12,0,14,13,8
hsa-miR-5581-5p,5,15,0,10,0,0,0,5
hsa-miR-5582-3p,49,55,54,50,65,62,266,30
hsa-miR-5583-5p,25,10,14,17,17,23,51,22
hsa-miR-5584-3p,17,21,26,18,25,67,21,16
hsa-miR-5584-5p,41,67,72,32,42,38,74,75
hsa-miR-5585-3p,18,10,28,15,13,11,49,17
hsa-miR-5585-5p,21,29,44,25,18,32,69,15
hsa-miR-5586-3p,0,0,0,0,0,1,10,0
hsa-miR-5586-5p,0,0,11,0,8,15,3,0
hsa-miR-5587-3p,38,67,44,44,39,48,53,62
