miRNA,46-UMIs,31-UMIs,56-UMIs,1A-UMIs,24-UMIs,57-UMIs,58-UMIs,54-UMIs
hsa-miR-6791-5p,19,70,54,48,49,58,117,50
hsa-miR-6792-3p,143,124,150,100,128,120,231,117
hsa-miR-6792-5p,77,108,150,104,109,109,129,101
hsa-miR-6793-3p,56,78,60,53,87,74,142,42
hsa-miR-6793-5p,19,39,40,21,16,264,56,39
hsa-miR-6794-3p,23,101,112,79,157,125,155,66
hsa-miR-6794-5p,214,454,564,314,552,653,770,377
hsa-miR-6795-3p,49,52,70,50,48,75,198,39
hsa-miR-6795-5p,75,208,171,211,488,366,214,133
hsa-miR-6796-3p,53,54,63,49,86,72,65,48
hsa-miR-6796-5p,30,94,116,123,273,239,123,78
hsa-miR-6797-3p,27,29,33,27,41,36,31,27
hsa-miR-6797-5p,25,34,19,21,36,45,33,18
hsa-miR-6798-3p,36,81,80,70,132,108,75,57
hsa-miR-6798-5p,48,83,39,25,31,48,61,32
hsa-miR-6799-3p,0,0,0,10,0,0,0,8
hsa-miR-6799-5p,20,26,43,35,29,47,34,27
hsa-miR-6800-3p,44,32,45,22,45,48,59,39
hsa-miR-6800-5p,89,75,106,58,69,428,109,91
hsa-miR-6801-3p,36,33,43,23,39,40,40,38
hsa-miR-6801-5p,19,25,22,16,59,32,27,24
hsa-miR-6802-3p,39,54,54,37,52,68,101,48
hsa-miR-6802-5p,62,94,119,59,97,78,162,99
hsa-miR-6803-3p,11,49,65,50,31,59,49,48
hsa-miR-6803-5p,88,126,108,99,122,138,107,82
hsa-miR-6804-3p,43,27,30,20,26,19,74,22
hsa-miR-6804-5p,15,24,19,6,19,20,20,14
hsa-miR-6805-3p,94,105,128,75,81,138,108,91
hsa-miR-6805-5p,28,47,50,37,44,62,63,30
hsa-miR-6806-3p,12,80,83,33,42,27,62,50
hsa-miR-6806-5p,12,29,37,9,16,15,40,23
hsa-miR-6807-3p,5,10,8,8,10,15,15,12
hsa-miR-6807-5p,8,31,27,27,30,24,29,31
hsa-miR-6808-3p,9,64,70,41,109,116,47,42
hsa-miR-6808-5p,8,20,31,45,28,135,35,39
hsa-miR-6809-3p,37,36,57,26,64,47,22,38
hsa-miR-6809-5p,22,11,28,15,20,42,15,21
hsa-miR-6810-3p,27,40,57,23,36,48,56,38
hsa-miR-6810-5p,11,15,31,26,17,16,102,29
hsa-miR-6811-3p,16,7,18,10,13,29,54,22
hsa-miR-6811-5p,9,13,50,30,14,18,24,28
hsa-miR-6812-3p,102,130,108,91,67,93,252,70
hsa-miR-6812-5p,72,128,149,141,150,139,201,112
hsa-miR-6813-3p,14,25,25,22,30,47,15,16
hsa-miR-6813-5p,42,93,112,95,77,89,205,115
hsa-miR-6814-3p,29,125,79,108,156,173,122,52
hsa-miR-6814-5p,20,50,68,14,40,31,80,19
hsa-miR-6815-3p,64,45,40,30,49,47,28,27
hsa-miR-6815-5p,37,37,39,28,17,39,94,39
hsa-miR-6816-3p,8,21,20,20,12,17,31,6
hsa-miR-6816-5p,296,686,575,600,1229,871,811,315
hsa-miR-6817-3p,2,16,19,9,14,22,26,12
hsa-miR-6817-5p,0,0,13,9,15,11,15,13
hsa-miR-6818-3p,9,16,0,12,0,17,43,6
hsa-miR-6818-5p,0,0,19,0,11,9,17,0
hsa-miR-6819-3p,25,16,22,13,11,36,29,19
hsa-miR-6819-5p,23,39,46,18,40,51,45,20
hsa-miR-6820-3p,52,185,128,125,155,187,202,82
hsa-miR-6820-5p,39,148,189,134,128,245,191,76
hsa-miR-6821-3p,43,71,68,65,83,70,124,64
hsa-miR-6821-5p,146,134,161,107,106,137,152,126
hsa-miR-6822-3p,10,13,27,12,19,21,54,15
hsa-miR-6822-5p,19,43,37,24,43,28,46,18
hsa-miR-6823-3p,23,60,60,23,55,87,77,56
hsa-miR-6823-5p,31,40,72,33,36,75,37,38
hsa-miR-6824-3p,0,0,14,0,4,6,17,0
hsa-miR-6824-5p,40,71,128,84,56,121,135,81
hsa-miR-6825-3p,30,83,73,68,113,80,109,57
hsa-miR-6825-5p,6,35,17,7,7,11,26,14
hsa-miR-6826-3p,68,107,124,90,157,146,186,82
hsa-miR-6826-5p,8,17,40,24,14,17,30,29
hsa-miR-6827-3p,10,40,35,18,18,29,36,18
hsa-miR-6827-5p,8,23,31,36,15,35,36,15
hsa-miR-6828-3p,3,15,16,0,6,10,11,0
hsa-miR-6828-5p,13,25,24,15,28,12,40,25
hsa-miR-6829-3p,12,36,35,28,65,63,44,16
hsa-miR-6829-5p,11,12,15,15,14,15,32,20
hsa-miR-6830-3p,26,38,62,33,34,52,41,26
hsa-miR-6830-5p,16,33,33,24,13,38,42,32
hsa-miR-6831-3p,11,21,24,13,12,20,26,25
hsa-miR-6831-5p,44,78,76,42,45,60,100,68
hsa-miR-6832-3p,12,28,32,22,34,34,23,17
hsa-miR-6832-5p,51,131,104,90,67,56,243,108
hsa-miR-6833-3p,28,17,31,31,28,37,48,20
hsa-miR-6833-5p,10,35,46,38,40,60,43,28
hsa-miR-6834-3p,8,18,14,16,13,33,20,12
hsa-miR-6834-5p,9,49,25,23,20,36,30,9
hsa-miR-6835-3p,5,11,0,0,0,0,0,0
hsa-miR-6835-5p,5,20,25,20,13,45,48,25
hsa-miR-6836-3p,83,329,353,321,254,318,362,212
hsa-miR-6836-5p,196,1218,1234,1142,728,1744,1155,769
hsa-miR-6837-3p,2,16,11,0,1,0,0,0
hsa-miR-6837-5p,13,45,36,15,35,30,34,13
hsa-miR-6838-3p,0,0,10,9,7,3,37,17
hsa-miR-6838-5p,13,18,28,13,19,26,22,14
hsa-miR-6839-3p,0,0,13,0,13,9,15,0
hsa-miR-6839-5p,27,30,52,17,24,41,31,20
hsa-miR-6840-3p,19,41,33,21,22,40,58,20
hsa-miR-6840-5p,63,85,140,72,72,88,128,126
hsa-miR-6841-3p,0,0,10,0,9,0,0,0
hsa-miR-6841-5p,11,6,10,0,4,7,11,0
hsa-miR-6842-3p,7,16,23,19,18,34,38,13
hsa-miR-6842-5p,8,26,20,10,11,15,39,17
hsa-miR-6843-3p,12,13,15,19,12,14,48,22
hsa-miR-6844,0,0,15,0,7,0,0,0
hsa-miR-6845-3p,59,33,43,15,27,24,40,60
hsa-miR-6845-5p,15,14,9,13,13,21,14,13
hsa-miR-6846-3p,30,52,55,61,78,58,84,48
hsa-miR-6846-5p,28,48,68,56,81,70,79,55
hsa-miR-6847-3p,10,14,16,16,7,10,19,6
hsa-miR-6847-5p,16,18,21,12,10,10,32,20
hsa-miR-6848-3p,4,11,21,15,16,16,13,10
hsa-miR-6848-5p,29,52,60,54,41,61,55,62
hsa-miR-6849-3p,4,22,19,16,4,16,14,9
hsa-miR-6849-5p,60,29,21,18,33,46,83,30
hsa-miR-6850-3p,35,73,121,94,91,105,178,75
hsa-miR-6850-5p,93,195,224,158,165,207,410,175
hsa-miR-6851-3p,15,25,35,33,26,22,49,27
hsa-miR-6851-5p,38,122,120,103,129,152,128,74
hsa-miR-6852-3p,0,0,24,15,27,20,22,17
hsa-miR-6852-5p,13,19,25,19,18,15,24,22
hsa-miR-6853-3p,81,128,148,74,45,56,282,151
hsa-miR-6853-5p,11,27,37,24,24,25,36,18
hsa-miR-6854-3p,4,11,15,8,8,10,12,11
hsa-miR-6854-5p,6,19,17,16,35,17,19,5
hsa-miR-6855-3p,48,104,77,37,39,55,75,65
hsa-miR-6855-5p,108,279,314,227,245,275,383,283
hsa-miR-6856-3p,14,25,27,17,22,18,17,8
hsa-miR-6856-5p,15,52,47,19,17,15,21,18
hsa-miR-6857-3p,843,1372,1855,1314,811,928,1850,1661
hsa-miR-6857-5p,52,113,118,111,55,131,103,84
hsa-miR-6858-3p,16,34,31,16,25,24,42,19
hsa-miR-6858-5p,26,45,62,23,25,54,65,32
hsa-miR-6859-3p,13,44,35,6,17,24,22,26
hsa-miR-6859-5p,4,20,20,16,19,21,26,26
hsa-miR-6860,62,72,55,38,26,46,117,61
hsa-miR-6861-3p,153,422,440,439,264,501,584,364
hsa-miR-6861-5p,10,19,19,12,21,42,13,17
hsa-miR-6862-3p,71,115,153,165,317,235,347,110
hsa-miR-6862-5p,8,22,15,0,18,15,23,0
hsa-miR-6863,137,433,299,274,519,466,987,278
hsa-miR-6864-3p,3,11,16,12,13,16,9,5
hsa-miR-6864-5p,6,11,12,8,5,5,32,11
hsa-miR-6865-3p,52,43,47,26,47,58,100,51
hsa-miR-6865-5p,26,54,69,71,126,76,64,72
hsa-miR-6866-3p,11,15,30,23,14,22,45,23
hsa-miR-6866-5p,19,13,18,11,6,13,21,8
hsa-miR-6867-3p,15,21,31,16,28,21,14,18
hsa-miR-6867-5p,32,32,41,27,42,39,64,26
hsa-miR-6868-3p,0,0,20,4,18,18,15,11
hsa-miR-6868-5p,2,15,13,8,11,11,17,10
hsa-miR-6869-3p,19,59,43,61,59,54,60,33
hsa-miR-6869-5p,39,141,171,101,134,150,193,85
hsa-miR-6870-3p,23,20,31,29,25,110,21,29
hsa-miR-6870-5p,8,25,17,10,13,73,24,20
hsa-miR-6871-3p,50,103,143,96,55,68,101,83
hsa-miR-6871-5p,29,74,78,64,37,57,75,43
hsa-miR-6872-3p,11,38,42,35,26,72,37,27
hsa-miR-6872-5p,8,26,21,19,15,16,29,23
hsa-miR-6873-3p,3,21,35,21,25,27,33,23
hsa-miR-6873-5p,1332,2869,2542,2743,1238,1258,8822,1934
hsa-miR-6874-3p,0,0,9,4,10,0,0,10
hsa-miR-6874-5p,17,20,21,15,25,31,37,23
hsa-miR-6875-3p,24,42,31,30,13,28,19,28
hsa-miR-6875-5p,52,483,458,361,60,125,84,240
hsa-miR-6876-3p,13,7,13,12,10,12,19,18
hsa-miR-6876-5p,9,20,12,10,12,21,18,8
hsa-miR-6877-3p,13,32,39,22,32,23,57,45
hsa-miR-6877-5p,61,175,202,147,275,161,189,159
hsa-miR-6878-3p,14,34,50,40,28,28,56,26
hsa-miR-6878-5p,14,40,41,35,14,8,19,25
hsa-miR-6879-3p,36,51,67,30,57,60,59,34
hsa-miR-6879-5p,23,32,37,30,36,46,40,18
hsa-miR-6880-3p,79,141,146,137,90,141,152,110
hsa-miR-6881-3p,30,103,85,64,55,70,53,61
hsa-miR-6881-5p,16,30,43,43,60,35,39,38
hsa-miR-6882-3p,21,26,31,18,40,30,50,35
hsa-miR-6882-5p,14,12,28,20,15,18,39,15
hsa-miR-6883-3p,20,45,45,32,53,40,53,40
hsa-miR-6883-5p,85,298,324,287,245,276,589,200
hsa-miR-6884-3p,27,54,52,52,40,72,77,39
hsa-miR-6884-5p,43,114,107,87,36,42,54,69
hsa-miR-6885-3p,15,13,20,10,12,26,21,8
hsa-miR-6885-5p,18,36,33,13,13,31,40,20
hsa-miR-6886-3p,103,87,53,46,69,105,64,77
hsa-miR-6886-5p,48,111,108,102,55,96,161,60
hsa-miR-6887-3p,161,272,222,314,271,274,596,211
hsa-miR-6887-5p,18,38,47,47,16,48,74,36
hsa-miR-6888-3p,14,34,27,44,69,25,38,15
hsa-miR-6888-5p,37,66,72,31,36,33,41,42
hsa-miR-6889-3p,7,27,21,7,15,23,23,20
hsa-miR-6889-5p,139,156,171,123,124,160,256,130
hsa-miR-6890-3p,27,19,29,19,17,18,21,26
hsa-miR-6890-5p,175,369,395,386,411,456,929,312
hsa-miR-6891-3p,228,577,413,727,1189,1141,1241,336
hsa-miR-6891-5p,50,43,66,27,45,57,67,53
hsa-miR-6892-3p,65,50,45,43,43,57,81,84
hsa-miR-6892-5p,73,218,219,149,220,176,249,197
hsa-miR-6893-3p,18,34,37,21,23,19,28,10
hsa-miR-6893-5p,36,98,118,76,36,107,168,86
hsa-miR-6894-3p,14,31,21,25,37,38,16,23
hsa-miR-6894-5p,24,41,30,18,21,42,42,19
hsa-miR-6895-3p,64,79,112,79,57,61,100,114
hsa-miR-6895-5p,14,16,0,19,0,7,24,17
hsa-miR-7-1-3p,14,20,33,25,8,27,31,19
hsa-miR-7-2-3p,10,15,19,0,18,21,13,0
hsa-miR-7-5p,107,211,208,208,94,189,262,299
hsa-miR-708-3p,18,12,17,11,4,9,23,6
hsa-miR-708-5p,64,40,65,47,21,54,103,65
hsa-miR-7106-3p,16,22,24,18,16,22,20,26
hsa-miR-7106-5p,18,34,21,0,26,18,24,0
hsa-miR-7107-3p,0,0,27,9,20,18,17,13
hsa-miR-7107-5p,450,939,1120,1419,826,1196,2103,867
hsa-miR-7108-3p,165,748,989,804,733,716,829,592
hsa-miR-7108-5p,48,98,113,99,70,96,166,80
hsa-miR-7109-3p,34,21,30,28,50,47,24,26
hsa-miR-7109-5p,13,28,37,30,39,41,29,31
hsa-miR-711,15,21,28,16,20,34,53,29
hsa-miR-7110-3p,25,69,52,38,90,79,53,40
hsa-miR-7110-5p,34,36,42,29,41,45,40,26
hsa-miR-7111-3p,53,67,82,83,53,131,218,64
hsa-miR-7111-5p,8,37,48,21,16,26,23,29
hsa-miR-7112-3p,3,25,26,24,53,38,30,19
hsa-miR-7112-5p,20,26,21,15,10,22,32,15
hsa-miR-7113-3p,29,298,321,159,199,213,165,196
hsa-miR-7113-5p,25,21,30,11,4,12,30,70
hsa-miR-7114-3p,20,55,35,28,69,61,52,33
hsa-miR-7114-5p,11,21,19,20,5,20,44,8
hsa-miR-7150,22,42,39,35,44,38,57,24
hsa-miR-7151-3p,8,10,20,10,16,18,23,8
hsa-miR-7151-5p,5,19,22,11,9,19,15,6
hsa-miR-7152-3p,12,24,39,38,6,26,31,25
hsa-miR-7152-5p,23,29,32,22,43,47,55,36
hsa-miR-7153-3p,9,24,23,12,8,14,25,12
hsa-miR-7153-5p,7,16,9,7,11,15,16,14
hsa-miR-7154-3p,9,13,11,0,6,13,11,0
hsa-miR-7154-5p,15,105,19,17,9,15,36,19
hsa-miR-7155-3p,7,22,0,12,0,27,8,4
hsa-miR-7155-5p,48,66,76,53,77,74,59,59
hsa-miR-7156-3p,26,68,76,69,63,69,148,66
hsa-miR-7156-5p,5,10,12,13,3,15,16,7
hsa-miR-7157-3p,11,10,26,4,19,17,22,13
hsa-miR-7157-5p,0,0,10,0,4,0,0,0
hsa-miR-7158-3p,4,13,0,0,0,0,0,0
hsa-miR-7158-5p,14,17,25,27,15,14,39,10
hsa-miR-7159-3p,11,9,0,0,0,11,8,0
hsa-miR-7159-5p,7,112,44,32,21,48,46,26
hsa-miR-7160-3p,24,22,33,15,16,20,91,33
hsa-miR-7160-5p,75,93,124,60,54,80,90,88
hsa-miR-7161-3p,9,28,25,24,15,26,28,21
hsa-miR-7161-5p,27,61,66,45,90,68,106,55
hsa-miR-7162-3p,40,87,74,51,67,59,152,67
hsa-miR-7162-5p,18,27,20,3,21,15,25,11
hsa-miR-718,130,330,374,229,268,276,450,250
hsa-miR-744-3p,99,91,139,143,75,119,186,142
hsa-miR-744-5p,108,187,214,176,156,228,324,258
hsa-miR-7515,0,0,11,3,11,11,12,12
hsa-miR-758-3p,29,54,52,35,44,45,67,53
hsa-miR-758-5p,13,12,14,15,3,14,15,11
hsa-miR-759,60,208,201,163,57,88,313,128
hsa-miR-760,61,48,47,50,78,95,87,62
hsa-miR-761,16,27,33,33,8,30,42,28
hsa-miR-762,36,94,112,58,57,101,108,74
hsa-miR-764,19,54,68,40,37,41,43,27
hsa-miR-7641,24,43,69,73,34,27,83,116
hsa-miR-765,32,37,39,40,48,44,57,34
hsa-miR-766-3p,52,418,79,47,51,60,65,50
hsa-miR-766-5p,30,48,54,47,41,32,52,57
hsa-miR-767-3p,26,55,66,59,75,73,62,55
hsa-miR-767-5p,16,25,18,14,12,22,39,16
hsa-miR-769-3p,96,230,181,232,195,213,238,134
hsa-miR-769-5p,249,92,146,93,37,62,323,477
hsa-miR-770-5p,20,13,15,11,18,12,36,25
hsa-miR-7702,16,22,27,16,8,17,41,17
hsa-miR-7703,9,12,13,15,17,21,16,20
hsa-miR-7704,59,72,90,42,53,58,429,94
hsa-miR-7705,10,6,0,0,0,0,0,0
hsa-miR-7706,31,16,17,16,11,12,37,13
hsa-miR-7843-3p,28,27,72,43,44,47,33,41
hsa-miR-7843-5p,287,277,432,242,71,213,738,510
hsa-miR-7844-5p,20,14,26,8,23,12,44,13
hsa-miR-7845-5p,37,104,102,66,226,111,112,70
hsa-miR-7846-3p,13,23,26,15,23,24,33,22
hsa-miR-7847-3p,46,63,68,48,94,85,109,36
hsa-miR-7848-3p,16,34,41,35,14,30,34,30
hsa-miR-7849-3p,93,377,373,429,650,928,447,266
hsa-miR-7850-5p,11,17,23,17,12,34,25,14
hsa-miR-7851-3p,38,32,37,74,28,32,71,40
hsa-miR-7853-5p,6,16,12,8,8,8,35,16
hsa-miR-7854-3p,9,48,39,40,58,57,46,36
hsa-miR-7855-5p,31,45,51,35,53,55,102,55
hsa-miR-7856-5p,8,79,116,72,18,24,33,34
hsa-miR-7974,9,16,10,22,2,7,19,4
hsa-miR-7975,10,24,18,20,12,16,32,13
hsa-miR-7976,0,0,9,6,11,50,12,22
hsa-miR-7977,24,33,37,29,24,62,39,56
hsa-miR-7978,28,18,21,23,13,26,47,34
hsa-miR-802,18,24,35,17,9,22,16,36
hsa-miR-8052,52,88,104,41,38,54,88,179
hsa-miR-8053,22,24,32,14,15,28,65,85
hsa-miR-8054,11,18,20,4,10,44,12,20
hsa-miR-8055,81,155,172,160,140,123,411,128
hsa-miR-8056,10,12,18,12,13,6,31,10
hsa-miR-8057,26,30,43,17,13,22,41,74
hsa-miR-8058,14,54,71,27,32,22,49,37
hsa-miR-8059,24,20,18,5,14,28,24,26
hsa-miR-8060,54,32,28,19,28,32,83,26
hsa-miR-8061,11,21,30,26,15,32,39,30
hsa-miR-8062,18,17,21,6,2,21,18,14
hsa-miR-8063,23,121,60,80,12,43,105,40
hsa-miR-8064,11,29,26,17,19,24,30,15
hsa-miR-8065,10,74,29,13,12,53,24,21
hsa-miR-8066,41,37,61,36,61,36,110,46
hsa-miR-8067,0,0,0,0,0,3,10,0
hsa-miR-8068,6,21,14,15,11,18,18,8
hsa-miR-8069,225,144,228,124,95,163,349,334
hsa-miR-8070,7,16,16,16,12,9,25,5
hsa-miR-8071,42,43,45,31,44,225,67,42
hsa-miR-8072,56,123,75,77,83,129,151,70
hsa-miR-8073,74,56,91,78,75,111,190,41
hsa-miR-8074,10,20,31,40,23,20,68,28
hsa-miR-8075,30,38,30,24,20,24,45,26
hsa-miR-8076,0,0,14,0,1,0,0,0
hsa-miR-8077,49,112,121,93,81,96,196,82
hsa-miR-8078,34,49,52,38,29,41,92,71
hsa-miR-8079,11,20,25,15,14,19,24,18
hsa-miR-8080,10,22,22,22,24,42,29,32
hsa-miR-8081,0,0,0,5,0,0,0,11
hsa-miR-8082,19,17,22,28,25,22,30,24
hsa-miR-8083,38,33,43,41,40,48,66,60
hsa-miR-8084,0,0,11,0,3,0,0,0
hsa-miR-8085,50,19,28,20,48,36,57,85
hsa-miR-8086,0,0,23,8,7,4,12,10
hsa-miR-8087,0,0,14,4,22,6,10,13
hsa-miR-8088,24,18,20,12,16,27,23,8
hsa-miR-8089,68,91,74,84,81,77,139,64
hsa-miR-8485,0,0,18,23,6,7,19,15
hsa-miR-873-3p,19,41,57,36,33,74,57,54
hsa-miR-873-5p,32,71,93,49,42,187,99,117
hsa-miR-874-3p,76,294,365,376,239,387,507,244
hsa-miR-874-5p,42,54,43,22,52,68,75,25
hsa-miR-875-3p,41,23,49,31,24,10,63,57
hsa-miR-875-5p,9,11,30,0,8,14,13,0
hsa-miR-876-3p,0,0,0,0,0,2,14,0
hsa-miR-876-5p,5,14,15,0,6,11,11,0
hsa-miR-877-3p,41,63,53,38,88,87,45,38
hsa-miR-877-5p,21,37,33,32,26,38,50,26
hsa-miR-885-3p,296,353,446,258,300,345,382,376
hsa-miR-885-5p,37,43,39,20,36,126,48,22
hsa-miR-887-3p,15,49,64,44,33,65,63,55
hsa-miR-887-5p,6,12,16,10,10,16,16,7
hsa-miR-888-3p,25,76,79,82,151,77,65,64
hsa-miR-888-5p,14,9,19,0,6,8,19,0
hsa-miR-889-3p,35,45,52,24,15,55,65,86
hsa-miR-889-5p,20,38,39,39,19,24,37,22
hsa-miR-890,0,0,14,7,3,14,21,10
hsa-miR-891a-3p,6,19,11,13,14,10,23,18
hsa-miR-891a-5p,83,141,202,173,77,144,350,180
hsa-miR-891b,0,0,0,12,0,0,0,7
hsa-miR-892a,0,0,20,0,5,9,10,0
hsa-miR-892b,49,49,57,21,44,33,62,63
hsa-miR-892c-3p,0,0,14,0,7,5,12,0
hsa-miR-9-3p,5,13,15,7,13,10,26,16
hsa-miR-9-5p,25,24,53,13,10,44,137,31
hsa-miR-920,18,19,16,11,23,16,41,18
hsa-miR-921,95,244,222,247,190,261,575,126
hsa-miR-922,22,14,10,0,8,12,20,0
hsa-miR-92a-1-5p,39,117,110,83,149,115,101,86
hsa-miR-92a-2-5p,11,23,26,15,15,29,26,14
hsa-miR-92a-3p,2451,3845,4038,2262,5042,8754,4975,5570
hsa-miR-92b-3p,143,258,212,160,280,346,242,281
hsa-miR-92b-5p,44,87,54,31,76,74,71,88
hsa-miR-93-3p,35,107,140,75,242,181,134,81
hsa-miR-93-5p,682,1626,1939,1802,1328,1619,3405,2315
hsa-miR-933,73,110,110,111,87,65,354,105
hsa-miR-934,24,63,57,40,31,28,74,56
hsa-miR-935,112,146,143,180,144,195,290,135
hsa-miR-936,87,46,72,32,73,81,113,91
hsa-miR-937-3p,28,27,48,32,25,43,91,39
hsa-miR-937-5p,36,48,75,44,26,72,66,44
hsa-miR-938,11,28,48,34,26,54,14,23
hsa-miR-939-3p,8,22,25,15,12,20,19,18
hsa-miR-939-5p,11,43,35,20,39,25,31,21
hsa-miR-940,39,137,130,103,207,171,179,72
hsa-miR-941,22,46,53,27,34,58,84,91
hsa-miR-942-3p,17,26,15,13,19,14,22,21
hsa-miR-942-5p,18,36,49,31,22,37,56,67
hsa-miR-943,65,72,92,88,45,87,112,80
hsa-miR-944,37,64,74,43,53,43,90,66
hsa-miR-95-3p,79,57,105,94,57,236,305,169
hsa-miR-95-5p,0,0,10,4,1,0,0,14
hsa-miR-9500,7,21,12,0,6,10,18,0
hsa-miR-96-3p,19,50,58,52,32,38,101,33
hsa-miR-96-5p,0,0,0,3,0,5,28,20
hsa-miR-98-3p,19,20,17,16,19,21,26,31
hsa-miR-98-5p,456,667,796,723,393,615,616,1364
hsa-miR-99a-3p,7,19,28,15,15,19,30,27
hsa-miR-99a-5p,685,755,1113,645,760,1998,1190,1479
hsa-miR-99b-3p,52,74,67,77,50,79,88,97
hsa-miR-99b-5p,278,538,807,677,422,869,507,1101
