miRNA,46,31,56, 1A,24,57,58,54
MIMAT0000062,15,0,4,3,0,0,9,0
MIMAT0000062_1,77,93,71,116,88,117,40,190
MIMAT0000062_2,14,12,10,11,13,20,11,42
MIMAT0000063,111483,61325,51912,56685,58804,116938,77152,167314
MIMAT0000064,15282,10444,11458,14178,7822,19460,9918,30157
MIMAT0000065,1436,953,842,819,802,1279,999,1970
MIMAT0000066,7516,5279,4210,4792,3783,6899,3146,12630
MIMAT0000067,310,262,248,246,222,299,139,492
MIMAT0000067_1,1992,1813,1749,2391,1554,2644,1062,6268
MIMAT0000068,150,74,131,48,85,96,304,187
MIMAT0000069,1,0,3,1,2,0,5,2
MIMAT0000069_1,59,50,40,24,33,32,99,75
MIMAT0000070,89,65,114,165,80,159,73,179
MIMAT0000071,0,11,9,6,0,7,14,15
MIMAT0000072,16,4,21,29,17,11,13,21
MIMAT0000073,16,19,73,66,24,64,104,148
MIMAT0000074,0,0,0,0,0,0,0,0
MIMAT0000074_1,0,0,0,2,0,3,2,3
MIMAT0000075,650,549,622,575,402,624,777,1211
MIMAT0000076,28676,22609,17546,12841,18236,47569,30776,40602
MIMAT0000077,0,0,0,0,0,0,0,0
MIMAT0000078,890,727,812,496,328,684,2449,1046
MIMAT0000079,0,0,0,0,0,0,1,0
MIMAT0000080,0,0,0,0,0,0,0,0
MIMAT0000080_1,0,1,0,4,0,1,0,0
MIMAT0000081,5368,3763,3034,3143,2446,5300,6739,7009
MIMAT0000082,9,5,8,3,1,5,4,18
MIMAT0000082_1,0,0,3,0,0,2,0,4
MIMAT0000083,2907,2279,2953,2467,2226,3781,3289,6292
MIMAT0000084,417,316,441,214,131,398,1310,399
MIMAT0000085,6,0,9,0,1,4,8,9
MIMAT0000086,1823,1260,1770,1373,752,3850,2148,3377
MIMAT0000087,8201,14351,13867,12666,5017,9536,12180,17861
MIMAT0000088,1982,2199,1754,2199,811,1780,1483,2983
MIMAT0000089,160,68,238,128,188,197,330,633
MIMAT0000090,83,104,97,39,49,151,82,147
MIMAT0000091,0,28,71,38,6,20,55,43
MIMAT0000092,72,128,199,146,294,308,156,530
MIMAT0000092_1,8,25,10,2,24,14,6,48
MIMAT0000093,2775,2628,2706,3183,1666,2356,4452,5141
MIMAT0000094,209,73,118,128,62,235,327,293
MIMAT0000095,0,7,5,0,1,2,21,18
MIMAT0000096,1313,1251,1297,1532,672,892,789,3108
MIMAT0000097,1934,1199,1502,1096,1033,2637,1256,2712
MIMAT0000098,249,83,180,86,264,550,133,406
MIMAT0000099,3,0,0,0,0,0,0,6
MIMAT0000099_1,48,29,38,36,18,32,35,54
MIMAT0000100,0,0,0,0,0,0,0,0
MIMAT0000100_1,0,0,2,0,0,6,3,2
MIMAT0000101,6,4,6,5,0,2,3,1
MIMAT0000101_1,0,0,0,0,0,0,0,11
MIMAT0000102,0,0,0,0,0,0,0,0
MIMAT0000102_1,0,0,0,0,0,0,0,0
MIMAT0000103,0,0,0,0,0,0,0,0
MIMAT0000104,12,12,10,33,17,8,9,26
MIMAT0000222,227,280,177,255,127,209,442,484
MIMAT0000226,6,6,3,12,10,7,11,141
MIMAT0000226_1,0,0,0,0,0,0,3,0
MIMAT0000227,6,24,51,27,24,11,14,71
MIMAT0000228,0,0,0,0,0,0,0,0
MIMAT0000231,4,0,0,0,0,0,0,0
MIMAT0000231_1,0,0,0,0,0,0,0,0
MIMAT0000232,0,0,0,0,4,0,0,5
MIMAT0000232_1,0,0,0,0,0,0,0,0
MIMAT0000241,0,0,0,0,0,0,0,0
MIMAT0000242,0,0,0,0,0,0,0,0
MIMAT0000242_1,0,0,0,0,0,0,0,0
MIMAT0000243,5433,4344,4501,4594,3176,9006,9367,8589
MIMAT0000244,0,0,0,0,0,0,0,0
MIMAT0000244_1,0,5,0,0,1,0,0,2
MIMAT0000245,2650,2556,4208,3107,2184,3945,4232,8485
MIMAT0000250,0,4,23,0,10,1,12,15
MIMAT0000251,0,0,0,0,0,0,0,0
MIMAT0000252,19,3,11,6,2,16,1,14
MIMAT0000252_1,0,0,0,0,0,0,0,0
MIMAT0000252_2,6,12,7,25,5,10,3,14
MIMAT0000253,333,363,374,218,447,474,903,870
MIMAT0000254,4066,683,988,393,1142,4956,1171,2639
MIMAT0000255,398,399,1020,371,274,639,1546,981
MIMAT0000256,0,0,0,0,0,0,0,0
MIMAT0000256_1,0,0,0,0,0,0,0,0
MIMAT0000257,0,0,0,0,0,0,0,0
MIMAT0000257_1,0,4,5,2,0,1,0,12
MIMAT0000258,5,0,0,0,0,0,1,0
MIMAT0000259,115,63,105,49,128,81,448,418
MIMAT0000260,0,0,0,0,0,0,0,0
MIMAT0000261,31,25,48,20,56,14,288,169
MIMAT0000262,46,30,15,15,6,24,30,31
MIMAT0000263,55,77,136,120,70,99,139,167
MIMAT0000264,3365,947,5941,883,579,282,59965,1140
MIMAT0000265,12,27,58,22,42,123,20,128
MIMAT0000266,348,165,1070,134,124,117,8985,920
MIMAT0000267,0,0,0,0,0,0,0,0
MIMAT0000268,0,0,0,0,0,0,0,0
MIMAT0000269,8,13,22,19,25,40,33,98
MIMAT0000270,17,18,6,17,8,29,13,15
MIMAT0000271,55,10,33,12,38,67,21,64
MIMAT0000272,37,20,15,36,17,6,19,1
MIMAT0000273,0,0,4,0,0,0,7,0
MIMAT0000274,0,4,2,0,0,0,2,0
MIMAT0000275,0,0,0,1,0,6,1,4
MIMAT0000275_1,0,0,0,0,0,1,0,0
MIMAT0000276,0,0,0,0,0,0,0,0
MIMAT0000276_1,0,0,0,0,0,0,0,0
MIMAT0000278,1983,953,880,419,451,1986,3065,1354
MIMAT0000279,149,59,109,27,26,303,190,138
MIMAT0000280,147,894,340,61,381,182,3459,2101
MIMAT0000281,84,40,156,56,66,51,1055,137
MIMAT0000318,76,54,148,29,85,132,818,494
MIMAT0000414,2360,1719,1790,1637,1352,2077,1641,4304
MIMAT0000415,19502,13848,13889,18070,11832,16275,15007,40200
MIMAT0000416,0,0,0,0,2,2,0,5
MIMAT0000416_1,0,0,0,0,0,0,0,0
MIMAT0000417,302,222,284,263,290,292,541,547
MIMAT0000418,403,366,705,548,401,845,634,1401
MIMAT0000419,5524,5095,5469,5311,2122,7826,11529,8379
MIMAT0000420,22,32,97,38,38,84,74,116
MIMAT0000421,7215,11047,2831,3752,1326,696,9106,5921
MIMAT0000422,0,0,0,0,0,0,0,0
MIMAT0000422_1,0,0,0,0,0,0,0,0
MIMAT0000422_2,0,0,0,0,0,0,0,0
MIMAT0000423,3,2,26,43,32,37,7,62
MIMAT0000423_1,1,0,4,5,12,15,3,38
MIMAT0000424,79,79,83,81,47,68,64,181
MIMAT0000424_1,0,0,0,0,0,0,0,0
MIMAT0000425,615,360,369,331,205,509,521,522
MIMAT0000426,1146,1109,750,478,1593,2423,937,2986
MIMAT0000427,0,0,0,0,0,0,0,0
MIMAT0000427_1,0,0,0,0,0,0,0,0
MIMAT0000428,0,0,0,0,0,0,0,0
MIMAT0000428_1,0,0,0,0,0,0,0,0
MIMAT0000429,0,0,0,0,3,0,0,5
MIMAT0000430,0,0,0,0,0,0,0,0
MIMAT0000430_1,0,0,0,0,0,0,2,0
MIMAT0000431,37,70,122,79,31,72,85,193
MIMAT0000432,75,81,288,76,114,136,2148,534
MIMAT0000433,280,231,119,61,192,68,754,632
MIMAT0000434,112,79,265,70,606,171,589,1328
MIMAT0000435,6705,5654,8738,4276,5680,8524,13933,15533
MIMAT0000436,11,5,7,4,60,0,158,102
MIMAT0000437,104,93,110,57,77,124,166,324
MIMAT0000438,462,514,398,392,266,651,539,783
MIMAT0000439,0,0,0,0,0,0,0,0
MIMAT0000439_1,0,0,0,0,0,0,0,0
MIMAT0000440,3082,3455,4587,5533,2573,3614,3465,9578
MIMAT0000441,0,0,0,0,0,0,0,0
MIMAT0000441_1,0,0,0,0,0,0,0,0
MIMAT0000441_2,0,0,0,0,0,0,0,0
MIMAT0000442,0,0,0,0,0,0,0,0
MIMAT0000442_1,0,0,0,0,0,0,0,0
MIMAT0000442_2,0,0,0,0,0,0,0,0
MIMAT0000443,2504,4505,9235,6744,4677,7796,3005,17299
MIMAT0000444,1041,681,1748,614,527,639,2382,1292
MIMAT0000445,1464,991,4117,765,1834,1482,4084,4015
MIMAT0000446,978,835,876,469,508,2153,1723,5056
MIMAT0000447,1042,837,519,320,529,3238,1505,3103
MIMAT0000448,47,10,28,3,21,67,46,60
MIMAT0000449,2587,1810,1285,1521,1736,1938,3349,3006
MIMAT0000450,44,38,47,29,10,51,48,27
MIMAT0000451,24,59,82,14,57,38,19,139
MIMAT0000452,21,32,5,12,13,87,40,95
MIMAT0000453,0,6,3,0,0,5,0,16
MIMAT0000454,5,9,0,6,1,4,17,2
MIMAT0000455,492,352,346,289,327,344,1088,1172
MIMAT0000456,129,131,218,250,108,182,296,522
MIMAT0000457,0,0,1,2,0,0,5,0
MIMAT0000458,175,193,224,270,98,180,179,309
MIMAT0000459,0,0,0,0,0,0,0,0
MIMAT0000460,0,0,0,0,0,0,0,0
MIMAT0000460_1,0,0,2,1,2,2,3,6
MIMAT0000461,553,397,710,352,525,2283,644,1543
MIMAT0000462,10,0,0,5,0,2,17,0
MIMAT0000510,3339,2219,1764,733,2011,4025,2915,2751
MIMAT0000617,114,47,171,63,169,190,1610,518
MIMAT0000646,72,82,84,61,124,136,93,264
MIMAT0000680,0,5,22,1,9,4,22,15
MIMAT0000681,963,552,437,402,259,655,1323,1212
MIMAT0000682,129,47,136,95,102,152,1248,598
MIMAT0000683,0,0,0,0,0,0,0,0
MIMAT0000684,0,0,0,0,0,0,0,0
MIMAT0000685,0,0,0,0,0,4,1,0
MIMAT0000686,0,15,20,8,74,57,38,45
MIMAT0000687,5,10,4,23,0,52,27,25
MIMAT0000688,23,10,24,18,8,6,31,24
MIMAT0000689,1010,1177,1516,1599,783,1651,752,2890
MIMAT0000690,3,6,13,0,4,4,0,3
MIMAT0000691,104,134,67,103,77,69,156,151
MIMAT0000692,1290,1948,2404,1996,966,2554,3778,5118
MIMAT0000693,253,250,296,264,173,284,307,673
MIMAT0000703,600,397,560,366,462,1113,765,919
MIMAT0000705,0,2,0,0,3,10,1,7
MIMAT0000707,50,15,3,3,22,6,116,107
MIMAT0000710,0,0,0,0,0,0,0,0
MIMAT0000714,0,0,0,0,0,0,0,0
MIMAT0000715,0,0,0,0,0,0,0,0
MIMAT0000716,0,0,0,0,0,0,0,0
MIMAT0000717,0,0,0,0,0,0,0,0
MIMAT0000718,0,0,0,0,0,0,0,0
MIMAT0000719,0,0,0,0,0,0,0,0
MIMAT0000720,19,13,43,10,36,131,71,143
MIMAT0000721,43,23,25,10,5,111,56,90
MIMAT0000722,75,135,127,91,69,182,185,1117
MIMAT0000723,0,0,0,0,0,0,0,0
MIMAT0000724,0,0,0,0,0,0,0,7
MIMAT0000725,0,0,0,0,0,0,0,0
MIMAT0000726,0,0,0,0,0,0,0,0
MIMAT0000727,20,9,24,28,27,55,26,69
MIMAT0000728,407,648,104,134,126,296,1918,193
MIMAT0000729,0,0,0,0,0,0,0,0
MIMAT0000729_1,0,0,0,0,0,0,0,2
MIMAT0000730,29,37,29,9,6,88,49,94
MIMAT0000731,0,0,0,0,0,3,0,7
MIMAT0000732,0,0,0,0,0,0,2,0
MIMAT0000733,434,262,275,182,330,1242,488,2080
MIMAT0000734,0,3,4,4,0,18,2,11
MIMAT0000735,0,0,0,0,0,0,0,3
MIMAT0000736,108,48,93,43,90,266,251,653
MIMAT0000737,3147,1769,806,831,937,6492,2517,5238
MIMAT0000738,6,0,0,0,2,3,0,11
MIMAT0000750,0,5,3,0,5,0,0,0
MIMAT0000751,0,4,7,2,0,0,0,9
MIMAT0000752,28,77,69,51,57,131,13,104
MIMAT0000753,388,447,544,493,516,688,605,1144
MIMAT0000754,0,2,0,0,7,2,1,3
MIMAT0000755,37,102,72,39,72,324,106,348
MIMAT0000756,0,0,4,5,2,0,5,0
MIMAT0000757,285,273,416,393,164,638,490,903
MIMAT0000758,0,21,5,4,2,14,6,9
MIMAT0000759,868,768,684,725,395,1072,936,1308
MIMAT0000760,0,4,15,7,5,4,3,12
MIMAT0000761,41,23,51,46,13,66,72,82
MIMAT0000762,16,7,16,20,0,29,13,43
MIMAT0000763,0,0,0,6,1,1,4,9
MIMAT0000764,69,92,186,266,92,237,99,460
MIMAT0000765,269,145,160,143,133,418,179,420
MIMAT0000770,0,0,0,0,0,0,0,0
MIMAT0000771,0,0,0,0,0,0,0,0
MIMAT0000772,15,30,26,29,13,35,51,48
MIMAT0000773,0,0,0,0,0,0,0,0
MIMAT0001075,0,0,0,0,0,0,0,0
MIMAT0001080,38,34,81,33,38,73,161,156
MIMAT0001339,0,0,0,0,0,0,0,0
MIMAT0001340,586,372,404,274,406,1050,500,895
MIMAT0001341,1559,1758,1614,1031,599,2118,2154,1808
MIMAT0001343,99,97,51,77,41,72,115,157
MIMAT0001412,0,0,0,0,0,0,0,0
MIMAT0001413,32,12,9,9,18,4,51,58
MIMAT0001532,0,0,0,0,0,0,0,0
MIMAT0001536,13,17,47,13,9,15,430,141
MIMAT0001541,0,3,0,3,33,24,5,5
MIMAT0001545,0,0,2,0,0,0,0,3
MIMAT0001545_1,10,1,0,0,0,0,0,3
MIMAT0001618,29,17,27,25,8,21,14,35
MIMAT0001620,5,0,5,6,0,2,8,7
MIMAT0001621,59,55,55,20,22,118,72,174
MIMAT0001625,55,50,22,28,38,100,68,221
MIMAT0001627,11,3,0,0,1,20,3,19
MIMAT0001629,0,0,0,0,0,0,0,0
MIMAT0001629_1,0,0,0,0,0,0,0,0
MIMAT0001630,0,0,0,0,0,0,0,0
MIMAT0001631,565,130,83,5,783,14,1622,1345
MIMAT0001635,30,10,12,7,2,25,58,19
MIMAT0001636,0,5,5,5,0,0,14,0
MIMAT0001638,24,23,25,7,2,55,18,56
MIMAT0001639,599,593,369,318,391,1385,909,2845
MIMAT0002170,0,0,0,0,0,0,0,0
MIMAT0002171,0,0,1,0,0,0,0,0
MIMAT0002172,0,0,1,0,0,0,14,6
MIMAT0002173,84,498,865,892,614,194,99,2127
MIMAT0002174,0,0,0,0,0,0,0,0
MIMAT0002175,61,62,12,5,25,177,72,155
MIMAT0002176,23,31,34,23,38,48,13,410
MIMAT0002177,1,11,0,0,11,0,3,8
MIMAT0002177_1,0,0,0,0,1,0,1,0
MIMAT0002178,7,0,1,4,0,7,0,3
MIMAT0002804,0,0,0,0,0,0,0,0
MIMAT0002805,0,0,2,0,0,0,0,0
MIMAT0002806,0,0,4,2,0,0,0,0
MIMAT0002807,0,10,9,2,5,1,3,9
MIMAT0002808,0,0,0,0,0,0,0,0
MIMAT0002809,559,400,502,261,437,1432,598,1719
MIMAT0002810,1856,2524,4186,3673,1871,6919,2769,7771
MIMAT0002811,9993,5639,2596,1822,4480,15033,4627,5725
MIMAT0002812,0,0,0,0,0,0,0,0
MIMAT0002813,30,38,24,7,20,71,46,121
MIMAT0002814,982,501,246,232,345,1571,679,2042
MIMAT0002815,0,0,0,0,0,0,0,0
MIMAT0002816,22,27,15,20,5,48,16,159
MIMAT0002817,2,0,2,0,2,3,0,12
MIMAT0002818,0,0,0,3,0,0,2,1
MIMAT0002819,4,2,8,16,3,4,9,26
MIMAT0002820,83,107,149,80,43,160,94,205
MIMAT0002821,7,5,1,0,0,8,0,5
MIMAT0002822,0,0,0,0,0,0,0,0
MIMAT0002822_1,0,0,0,0,0,0,0,0
MIMAT0002823,0,0,0,0,0,0,0,0
MIMAT0002823_1,0,0,0,0,0,0,0,0
MIMAT0002824,0,0,0,0,0,0,0,0
MIMAT0002825,0,0,0,0,0,0,0,0
MIMAT0002826,0,0,0,0,0,0,0,0
MIMAT0002826_1,0,0,0,0,0,0,0,0
MIMAT0002827,0,0,0,0,0,0,0,0
MIMAT0002827_1,0,0,0,0,0,0,0,0
MIMAT0002828,0,0,0,0,0,0,0,0
MIMAT0002829,0,0,0,0,0,0,0,0
MIMAT0002830,0,0,0,0,0,0,0,0
MIMAT0002831,0,0,0,0,0,0,0,0
MIMAT0002832,0,0,0,0,0,0,0,0
MIMAT0002833,0,0,0,0,0,0,0,0
MIMAT0002834,0,0,0,0,0,0,1,0
MIMAT0002835,0,0,0,0,0,0,0,0
MIMAT0002836,0,0,0,0,0,0,0,0
MIMAT0002837,0,0,0,0,0,0,0,0
MIMAT0002838,0,0,0,0,0,0,0,0
MIMAT0002839,0,0,0,0,0,0,0,0
MIMAT0002840,0,0,0,0,0,0,0,0
MIMAT0002841,0,0,0,0,0,0,0,0
MIMAT0002842,0,0,0,0,0,0,0,0
MIMAT0002843,0,0,0,0,0,0,0,0
MIMAT0002844,0,0,0,0,0,0,0,0
MIMAT0002845,0,0,0,0,0,0,0,0
MIMAT0002845_1,0,0,0,0,0,0,0,0
MIMAT0002846,0,0,0,0,0,0,0,0
MIMAT0002847,0,0,0,0,0,0,0,0
MIMAT0002848,0,0,0,0,0,0,0,0
MIMAT0002849,0,0,0,0,0,0,0,0
MIMAT0002850,0,0,0,0,0,0,0,0
MIMAT0002851,0,0,0,0,0,0,0,0
MIMAT0002851_1,0,0,0,0,0,0,0,0
MIMAT0002851_2,0,0,0,0,0,0,0,0
MIMAT0002852,0,0,0,0,0,0,0,0
MIMAT0002853,0,0,0,0,0,0,0,0
MIMAT0002854,0,0,0,0,0,0,0,0
MIMAT0002854_1,0,0,0,0,0,0,0,0
MIMAT0002855,0,0,0,0,0,0,0,0
MIMAT0002856,0,0,0,0,0,0,0,0
MIMAT0002857,0,0,0,0,0,0,0,0
MIMAT0002858,0,0,0,0,0,0,0,0
MIMAT0002859,0,0,0,0,0,0,0,0
MIMAT0002859_1,0,0,0,0,0,0,0,0
MIMAT0002860,0,0,0,0,0,0,0,0
MIMAT0002860_1,0,0,0,0,0,0,0,0
MIMAT0002861,0,0,0,0,0,0,0,0
MIMAT0002862,0,0,0,0,0,0,0,0
MIMAT0002863,0,0,0,0,0,0,0,0
MIMAT0002863_1,0,0,0,0,0,0,0,0
MIMAT0002864,0,0,0,0,0,0,0,0
MIMAT0002866,0,0,0,0,0,0,0,0
MIMAT0002867,0,0,0,0,0,0,0,0
MIMAT0002868,0,0,0,0,0,0,0,0
MIMAT0002869,0,0,0,0,0,0,0,0
MIMAT0002869_1,0,0,0,0,0,0,0,0
MIMAT0002870,23,3,9,4,3,11,10,0
MIMAT0002871,22,8,19,2,7,10,14,50
MIMAT0002872,8,0,0,0,0,0,0,3
MIMAT0002873,0,0,0,0,0,0,1,0
MIMAT0002874,2458,3759,2909,2245,1313,2665,2997,4979
MIMAT0002875,0,4,2,4,5,5,0,13
MIMAT0002876,11,10,19,18,0,17,19,9
MIMAT0002877,0,0,0,0,0,0,0,0
MIMAT0002877_1,0,0,0,0,0,0,0,0
MIMAT0002878,27,6,15,4,11,37,9,48
MIMAT0002879,0,2,3,3,5,2,0,3
MIMAT0002880,906,464,237,281,257,1893,214,1008
MIMAT0002881,0,0,0,0,0,0,0,0
MIMAT0002881_1,0,0,0,0,0,0,0,0
MIMAT0002881_2,0,0,0,0,0,0,0,0
MIMAT0002882,7,4,0,3,0,15,0,0
MIMAT0002883,0,0,0,0,0,0,0,0
MIMAT0002883_1,0,0,0,0,0,0,0,0
MIMAT0002883_2,0,0,0,0,0,0,0,0
MIMAT0002888,145,188,172,189,94,175,405,369
MIMAT0002890,0,4,6,0,0,10,2,37
MIMAT0002891,0,11,2,2,0,2,2,5
MIMAT0003150,21,15,28,17,42,46,27,47
MIMAT0003161,18,12,40,14,7,39,39,94
MIMAT0003163,0,0,0,0,0,0,0,0
MIMAT0003164,0,0,0,0,0,0,0,0
MIMAT0003165,0,0,0,0,0,0,0,0
MIMAT0003180,26,22,43,8,14,40,50,158
MIMAT0003214,4,0,0,0,0,10,0,0
MIMAT0003215,0,0,0,0,0,0,0,0
MIMAT0003216,0,0,0,0,0,0,0,0
MIMAT0003217,0,0,0,0,0,0,0,0
MIMAT0003218,165,268,144,140,290,300,170,339
MIMAT0003219,0,0,0,0,0,0,0,0
MIMAT0003220,0,0,0,0,0,0,0,0
MIMAT0003221,0,0,0,0,0,0,0,0
MIMAT0003222,0,0,0,0,0,0,0,0
MIMAT0003223,0,0,0,0,0,0,0,0
MIMAT0003225,0,0,0,0,2,0,0,0
MIMAT0003226,0,0,0,0,0,0,0,0
MIMAT0003227,0,0,0,0,0,0,0,0
MIMAT0003228,0,0,0,0,0,0,0,0
MIMAT0003230,0,0,0,0,0,0,0,0
MIMAT0003231,0,0,0,0,0,0,0,0
MIMAT0003232,0,0,0,0,0,0,0,0
MIMAT0003233,0,0,0,0,0,0,0,0
MIMAT0003234,0,0,0,0,0,0,0,0
MIMAT0003235,0,0,0,0,0,0,0,0
MIMAT0003236,0,0,0,0,0,0,0,0
MIMAT0003237,0,0,0,0,0,0,0,0
MIMAT0003238,0,0,0,0,0,0,0,0
MIMAT0003239,97,132,262,207,187,315,237,644
